arch01,arch02,arch03,arch04,arch05,arch06,arch07,arch08,arch09,arch0_0000,arch0_0001,arch0_0002,arch0_0004,arch0_0006,arch0_0007,arch0_0008,arch0_0009,arch0_0016,arch0_0017,arch10,arch_f00,arch_f04,arch_f05,arch_f06,arch_f09,arch_f11,arch_f13,arch_f15,arch_f17,arch_f20
relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,relu5,,"hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]","hpool5 [2, 1]"
bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,"hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]","hpool5 [1, 1]",,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5,bnorm5
"conv6 [3, 4, 256]","conv6 [2, 2, 128]","conv6 [2, 2, 64]","conv6 [3, 2, 256]","conv6 [3, 4, 256]","conv6 [3, 4, 256]","conv6 [1, 8, 128]","conv6 [2, 16, 128]","conv6 [2, 8, 512]",lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,lnorm5,,"conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]","conv6 [1, 1, 512]"
"mpool6 [1, 1]","mpool6 [1, 2]","mpool6 [2, 4]","mpool6 [1, 1]","mpool6 [1, 1]","mpool6 [1, 2]","mpool6 [1, 1]","mpool6 [1, 1]","mpool6 [1, 1]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]","conv6 [8, 8, 512]",,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6
relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,relu6,,"hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]","hpool6 [1, 1]"
bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,"hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]","hpool6 [2, 4]",,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6,bnorm6
"conv7 [3, 8, 256]","conv7 [3, 2, 256]","conv7 [2, 4, 128]","conv7 [2, 2, 256]","conv7 [3, 4, 256]",flatten,flatten,"conv7 [1, 2, 128]","conv7 [3, 4, 512]",lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,lnorm6,,flatten,flatten,flatten,flatten,flatten,flatten,flatten,flatten,flatten,flatten
"mpool7 [1, 2]","mpool7 [1, 2]","mpool7 [1, 1]","mpool7 [1, 2]","mpool7 [1, 1]",fc0 [512],fc0 [512],"mpool7 [1, 1]","mpool7 [1, 2]",flatten,flatten,flatten,flatten,flatten,flatten,flatten,flatten,"conv7 [2, 8, 512]","conv7 [8, 2, 512]",,fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [1024],fc0 [1024],fc0 [1024],fc0 [1024],fc0 [1024]
relu7,relu7,relu7,relu7,relu7,relu_fc0,relu_fc0,relu7,relu7,fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [512],fc0 [512],relu7,relu7,,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0
bnorm7,bnorm7,bnorm7,bnorm7,bnorm7,norm_fc0,norm_fc0,bnorm7,bnorm7,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,relu_fc0,"hpool7 [1, 1]","hpool7 [1, 1]",,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0
flatten,"conv8 [1, 8, 512]","conv8 [1, 8, 128]",flatten,"conv8 [2, 4, 256]",dropout,dropout,"conv8 [3, 16, 128]","conv8 [1, 3, 512]",norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,norm_fc0,lnorm7,lnorm7,,dropout,dropout,dropout,dropout,dropout,dropout,dropout,dropout,dropout,dropout
fc0 [512],"mpool8 [1, 2]","mpool8 [1, 1]",fc0 [512],"mpool8 [1, 2]",fc [504],fc [504],"mpool8 [1, 4]","mpool8 [1, 1]",dropout,dropout,dropout,dropout,dropout,dropout,dropout,dropout,flatten,flatten,,fc [1],fc [1],fc [1],fc [1],fc [1],fc [1],fc [1],fc [1],fc [1],fc [1]
relu_fc0,relu8,relu8,relu_fc0,relu8,,,relu8,relu8,"fc [433, 794]","fc [433, 794]","fc [433, 794]","fc [433, 794]","fc [433, 794]","fc [433, 794]","fc [433, 794]","fc [433, 794]",fc0 [512],fc0 [512],,,,,,,,,,,
norm_fc0,bnorm8,bnorm8,norm_fc0,bnorm8,,,bnorm8,bnorm8,,,,,,,,,relu_fc0,relu_fc0,,,,,,,,,,,
dropout,flatten,"conv9 [3, 2, 128]",dropout,flatten,,,flatten,flatten,,,,,,,,,norm_fc0,norm_fc0,,,,,,,,,,,
fc [504],fc0 [512],"mpool9 [1, 4]",fc [504],fc0 [512],,,fc0 [512],fc0 [512],,,,,,,,,dropout,dropout,,,,,,,,,,,
,relu_fc0,relu9,,relu_fc0,,,relu_fc0,relu_fc0,,,,,,,,,"fc [433, 794]","fc [433, 794]",,,,,,,,,,,
,norm_fc0,bnorm9,,norm_fc0,,,norm_fc0,norm_fc0,,,,,,,,,,,,,,,,,,,,,
,dropout,flatten,,dropout,,,dropout,dropout,,,,,,,,,,,,,,,,,,,,,
,fc [504],fc0 [512],,fc [504],,,fc [504],fc [504],,,,,,,,,,,,,,,,,,,,,
,,relu_fc0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,norm_fc0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dropout,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fc [504],,,,,,,,,,,,,,,,,,,,,,,,,,,
