background_condition,correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,snr,tag_expt,tag_model
0.0,"[0.013297872340425532, 0.015957446808510637, 0.007978723404255319, 0.005319148936170213, 0.010638297872340425, 0.015957446808510637, 0.007978723404255319, 0.007978723404255319, 0.005319148936170213, 0.005319148936170213]",0.009574468085106383,0.0013268288605581353,"[0.005319148936170213, 0.0026595744680851063, 0.010638297872340425, 0.0026595744680851063, 0.0026595744680851063, 0.007978723404255319, 0.005319148936170213, 0.013297872340425532, 0.0, 0.007978723404255319]",0.005851063829787234,0.001302920075948499,-21.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.034574468085106384, 0.026595744680851064, 0.026595744680851064, 0.018617021276595744, 0.02127659574468085, 0.02925531914893617, 0.02925531914893617, 0.018617021276595744, 0.02127659574468085, 0.015957446808510637]",0.02420212765957447,0.0018785124202497423,"[0.013297872340425532, 0.015957446808510637, 0.013297872340425532, 0.010638297872340425, 0.015957446808510637, 0.018617021276595744, 0.02127659574468085, 0.010638297872340425, 0.010638297872340425, 0.013297872340425532]",0.014361702127659573,0.001135305715856888,-18.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.06914893617021277, 0.061170212765957445, 0.06648936170212766, 0.05585106382978723, 0.07180851063829788, 0.061170212765957445, 0.06382978723404255, 0.05851063829787234, 0.07446808510638298, 0.06914893617021277]",0.0651595744680851,0.0019116895968836732,"[0.02925531914893617, 0.02925531914893617, 0.026595744680851064, 0.02925531914893617, 0.02925531914893617, 0.018617021276595744, 0.02127659574468085, 0.026595744680851064, 0.026595744680851064, 0.018617021276595744]",0.02553191489361702,0.001384796041827421,-15.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.1356382978723404, 0.13031914893617022, 0.15425531914893617, 0.13829787234042554, 0.15425531914893617, 0.14893617021276595, 0.14893617021276595, 0.13031914893617022, 0.15425531914893617, 0.13829787234042554]",0.14335106382978724,0.003107898606907463,"[0.07712765957446809, 0.05851063829787234, 0.05851063829787234, 0.05053191489361702, 0.05851063829787234, 0.06382978723404255, 0.06648936170212766, 0.05319148936170213, 0.061170212765957445, 0.07446808510638298]",0.062234042553191496,0.002694802154888416,-12.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.26063829787234044, 0.2553191489361702, 0.30319148936170215, 0.2765957446808511, 0.26063829787234044, 0.2712765957446808, 0.2898936170212766, 0.22606382978723405, 0.2712765957446808, 0.24468085106382978]",0.26595744680851063,0.006946644689418341,"[0.14095744680851063, 0.13031914893617022, 0.15425531914893617, 0.1276595744680851, 0.11702127659574468, 0.14095744680851063, 0.14627659574468085, 0.125, 0.1276595744680851, 0.14893617021276595]",0.13590425531914893,0.0038120567375886523,-9.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.42021276595744683, 0.39361702127659576, 0.4148936170212766, 0.44148936170212766, 0.43617021276595747, 0.4441489361702128, 0.4574468085106383, 0.35904255319148937, 0.4521276595744681, 0.42819148936170215]",0.42473404255319147,0.009440969086321,"[0.24202127659574468, 0.2393617021276596, 0.23404255319148937, 0.2154255319148936, 0.22074468085106383, 0.2579787234042553, 0.23138297872340424, 0.19946808510638298, 0.23404255319148937, 0.2074468085106383]",0.22819148936170214,0.00553350586323661,-6.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.5851063829787234, 0.5372340425531915, 0.5664893617021277, 0.5851063829787234, 0.5851063829787234, 0.5824468085106383, 0.5851063829787234, 0.5159574468085106, 0.5664893617021277, 0.5797872340425532]",0.5688829787234042,0.007579139161876415,"[0.3696808510638298, 0.3324468085106383, 0.3484042553191489, 0.35106382978723405, 0.34574468085106386, 0.35904255319148937, 0.3617021276595745, 0.3351063829787234, 0.3484042553191489, 0.3351063829787234]",0.34867021276595744,0.003893650931914496,-3.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.7021276595744681, 0.6622340425531915, 0.6728723404255319, 0.7074468085106383, 0.6808510638297872, 0.6888297872340425, 0.7526595744680851, 0.6329787234042553, 0.699468085106383, 0.6968085106382979]",0.689627659574468,0.009951611335893047,"[0.5132978723404256, 0.4973404255319149, 0.4787234042553192, 0.4946808510638298, 0.5159574468085106, 0.5026595744680851, 0.4920212765957447, 0.4946808510638298, 0.5053191489361702, 0.4654255319148936]",0.4960106382978723,0.004810979982700401,0.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.7925531914893617, 0.7632978723404256, 0.7686170212765957, 0.7872340425531915, 0.75, 0.7579787234042553, 0.7978723404255319, 0.7313829787234043, 0.7925531914893617, 0.7632978723404256]",0.7704787234042553,0.006844637640765109,"[0.648936170212766, 0.6196808510638298, 0.598404255319149, 0.6143617021276596, 0.6090425531914894, 0.6276595744680851, 0.6117021276595744, 0.574468085106383, 0.6196808510638298, 0.574468085106383]",0.609840425531915,0.007224497422652242,3.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
0.0,"[0.8404255319148937, 0.8377659574468085, 0.8404255319148937, 0.8404255319148937, 0.8218085106382979, 0.8111702127659575, 0.8377659574468085, 0.776595744680851, 0.8271276595744681, 0.8191489361702128]",0.8252659574468085,0.006344074703125841,"[0.7074468085106383, 0.7127659574468085, 0.675531914893617, 0.6702127659574468, 0.6835106382978723, 0.6941489361702128, 0.6861702127659575, 0.6728723404255319, 0.6808510638297872, 0.6675531914893617]",0.6851063829787234,0.004875080526548766,6.0,kell_like_inharmonic,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
