background_condition,cutoff_channel,cutoff_channel_freq,srt_mean,srt_sem,tag_expt,tag_model,srt_list
3.0,0.0,100.0,-0.7,0.6974522292993619,hopkins_moore_2009,human,
3.0,8.0,548.0,-2.047133757961782,0.678343949044586,hopkins_moore_2009,human,
3.0,16.0,1605.0,-2.7828025477706984,0.8980891719745241,hopkins_moore_2009,human,
3.0,24.0,4102.0,-2.400636942675157,0.7834394904458595,hopkins_moore_2009,human,
3.0,32.0,10000.0,-2.9929936305732463,0.9649681528662404,hopkins_moore_2009,human,
4.0,0.0,100.0,-7.4,1.5859872611464976,hopkins_moore_2009,human,
4.0,8.0,548.0,-10.849044585987262,1.3184713375796155,hopkins_moore_2009,human,
4.0,16.0,1605.0,-11.412738853503184,1.2229299363057313,hopkins_moore_2009,human,
4.0,24.0,4102.0,-12.425477707006367,1.3471337579617835,hopkins_moore_2009,human,
4.0,32.0,10000.0,-13.619745222929934,1.2324840764331206,hopkins_moore_2009,human,
3.0,0.0,80.0,-4.039615067147613,0.08058979063920053,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.6192485994356547, -3.8732691537214174, -3.8710661946740546, -3.8792182188481763, -3.964574486899008, -4.316715080749722, -3.9480291925614908, -4.4009126476919205, -4.206095712279816, -4.317021384614869]"
3.0,4.0,242.87576293945312,-3.7117177309859715,0.08057501146088546,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.2867592182952063, -3.6859724777550236, -3.5889853682041593, -3.4840174421120738, -3.73654457372067, -3.8248792855788505, -3.516154656114905, -4.058027467022369, -3.8389380302509797, -4.096898790805473]"
3.0,8.0,491.6507873535156,-3.3807527675703968,0.06553989146214567,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.0025572965935066, -3.556541310097145, -3.2226200888662815, -3.3325621118781985, -3.570350778171571, -3.6786505868953236, -3.1903708382983034, -3.4464398351216126, -3.501251813860196, -3.3061830159218304]"
3.0,12.0,871.6275024414062,-3.1657318433373645,0.06668012002470199,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-2.8408112794219327, -3.0342882006194207, -3.2552860084826025, -3.3675260099818547, -3.4078826864013716, -3.3765975167849365, -2.8308877746193497, -3.211609871285558, -3.0912390619087926, -3.241190023867826]"
3.0,16.0,1452.0006103515625,-3.2830951879278096,0.06381809979435689,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.1945054599969156, -3.2010686968780155, -3.381175119058063, -3.285867018823856, -3.534599063054167, -3.4229827791512664, -2.8366907874632017, -3.5024687176955185, -3.297623731091529, -3.173970506065565]"
3.0,20.0,2338.45751953125,-3.5062698716797707,0.07523353069140845,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.1494716512461562, -3.3731903497786333, -3.714317258364728, -3.591245596318166, -3.905958137744505, -3.553264173708209, -3.133228651727317, -3.6184292574353396, -3.503793504740073, -3.519800135734576]"
3.0,24.0,3692.423583984375,-3.690802358188285,0.07110421273089108,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.249311987046531, -3.628236205899412, -3.7745853724420417, -3.72071314442916, -4.0143451785628015, -3.765812004926825, -3.3935010485924098, -3.907507409689393, -3.7257031346371834, -3.7283080956570918]"
3.0,28.0,5760.4599609375,-3.860312193352473,0.08942806143813167,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.390039743152474, -3.711867978947178, -3.960687521257988, -3.8908418634392845, -4.221482000462672, -4.121948302601776, -3.4397458563539955, -4.159408445031357, -3.8645446504564993, -3.8425555718215074]"
3.0,32.0,8000.0,-4.064819880186063,0.08093502171607596,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-3.72610939800693, -3.785896421552963, -4.053489463208645, -4.171061493433594, -4.467139266878806, -4.213012557328778, -3.7283327667092054, -4.361830705012376, -4.058937481651906, -4.082389248077419]"
4.0,0.0,80.0,-1.1705972366181603,0.2408993844212111,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-0.354930070228542, -1.4799210939186265, -1.42120216096383, -1.026134508697557, -1.7260777787635508, -2.092346433621079, -1.290200131790271, 0.47911879082325337, -1.8339282835068622, -0.9603506955145382]"
4.0,4.0,242.87576293945312,-1.2328639475308072,0.22219927107650503,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-0.5389150061144161, -1.481328426377152, -1.8647619503555493, -0.9443518224384732, -1.5873082839870893, -1.9804438170341876, -1.4170489151235293, 0.2513949595100328, -1.8579080122333467, -0.9079682011543618]"
4.0,8.0,491.6507873535156,-1.211121899633079,0.20501175551358922,hopkins_moore_2009,models/spkr_word_recognition/autocorr_block3concat/simplified_IHC0050/arch0_00??,"[-0.7070578806357666, -1.3165890854083766, -1.6531582228674895, -0.7761940257126774, -1.67356829695353, -1.8060521597870223, -1.3509648466516322, 0.2357868288737558, -1.8827574169746775, -1.180663890213374]"
