f,itd_threshold_list,itd_threshold_mean,itd_threshold_sem,log_itd_threshold_list,log_itd_threshold_mean,log_itd_threshold_sem,tag_model
1850.0,"[320.0, 320.0, 320.0, 192.63689859632694, 201.57076042558413, 20.583739811920207, 146.2613301461853, 116.07033147074415, 22.981442072185796, 320.0]",198.01045025229465,38.16264864387358,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.260807062511659, 5.306140488106741, 3.024501434592529, 4.985394954196264, 4.754196313159551, 3.1346870238105247, 5.768320995793772]",4.953901125955236,0.3324050359231687,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1900.0,"[320.0, 320.0, 259.80857733110486, 221.22112512945606, 320.0, 24.5341504045274, 160.48296400190435, 219.89401293191014, 23.45159555712212, 320.0]",218.9392425356025,36.811143295671855,"[5.768320995793772, 5.768320995793772, 5.559945118822785, 5.399162767481679, 5.768320995793772, 3.200066041044504, 5.0781877936461575, 5.393145670868609, 3.154938533393059, 5.768320995793772]",5.085872990843188,0.3260042139731161,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1950.0,"[320.0, 320.0, 201.82673306315823, 209.63304397784373, 233.9064157188624, 74.63915602866511, 110.02659790873629, 117.23634282124839, 37.42373349229596, 320.0]",194.469202301081,33.537922143161275,"[5.768320995793772, 5.768320995793772, 5.307409572203994, 5.3453585925870755, 5.454921102537866, 4.312665249249346, 4.700722135734038, 4.764191921405693, 3.622305088511848, 5.768320995793772]",5.0812536649611175,0.22709032240808816,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2000.0,"[320.0, 320.0, 278.20401454394477, 320.0, 310.6187953140933, 155.07628917633298, 141.2913456301964, 174.78863432940372, 85.18877459105073, 320.0]",242.5167853585022,29.27981703917561,"[5.768320995793772, 5.768320995793772, 5.628354709809182, 5.768320995793772, 5.738566421807428, 5.043917184068754, 4.950824039620795, 5.163577440108644, 4.444869671528833, 5.768320995793772]",5.404339345011872,0.14929277002890773,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2050.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 289.62165192276666, 320.0, 275.70954143607304, 229.31783742830936, 320.0]",303.4649030787149,9.64575269709713,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.668575422643484, 5.768320995793772, 5.619347925468894, 5.43510897762902, 5.768320995793772]",5.71012792962978,0.034850167319678015,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2100.0,"[320.0, 320.0, 320.0, 320.0, 300.6852319973429, 130.8593730370432, 121.79933698380422, 320.0, 73.36394498601754, 320.0]",254.6707887004208,32.24576199433999,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.706063976707777, 4.87412325833309, 4.802374911778257, 5.768320995793772, 4.29543260221142, 5.768320995793772]",5.428792072379318,0.17490056504991,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2150.0,"[320.0, 320.0, 320.0, 278.4946764872176, 320.0, 320.0, 116.49715650984625, 320.0, 93.28755048730103, 320.0]",272.82793834843653,28.33972475909972,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.629398944237492, 5.768320995793772, 5.768320995793772, 4.757866865067079, 5.768320995793772, 4.535686663658496, 5.768320995793772]",5.530119944351947,0.148784216396689,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2200.0,"[320.0, 320.0, 303.8113473075077, 259.8293190819668, 320.0, 145.48215326650407, 136.61488751566165, 320.0, 82.00883286967981, 320.0]",252.77465400413197,29.705309255518184,"[5.768320995793772, 5.768320995793772, 5.716406940706751, 5.5600249503786285, 5.768320995793772, 4.980053421126273, 4.917165927403554, 5.768320995793772, 4.406826959386018, 5.768320995793772]",5.442208317797009,0.15570928235519818,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2250.0,"[320.0, 320.0, 320.0, 313.20717244728354, 320.0, 222.80100637895245, 320.0, 320.0, 159.52395589468279, 320.0]",293.5532134720919,17.717543854819173,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.746864864388546, 5.768320995793772, 5.406279025004115, 5.768320995793772, 5.768320995793772, 5.0721941046440255, 5.768320995793772]",5.660358496459309,0.07450342200526455,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2300.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 212.51301661378483, 320.0, 320.0, 274.9535189121666, 320.0]",304.74665355259515,11.183316580921106,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.359003241141587, 5.768320995793772, 5.768320995793772, 5.616602061243144, 5.768320995793772]",5.712217326873491,0.042042761658884424,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2350.0,"[320.0, 320.0, 320.0, 206.41170070372976, 320.0, 160.80027644785582, 320.0, 320.0, 80.73440997863844, 320.0]",268.79463871302244,27.743865395809063,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.329872721456677, 5.768320995793772, 5.080163075946472, 5.768320995793772, 5.768320995793772, 4.391164878183246, 5.768320995793772]",5.517944764614279,0.1466467642857554,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2400.0,"[320.0, 320.0, 320.0, 297.24605288691436, 320.0, 320.0, 320.0, 320.0, 198.0528967226402, 320.0]",305.52989496095546,12.15410251202555,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.69456025671709, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.288534150179799, 5.768320995793772]",5.712966237324706,0.04772543824391757,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2450.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2500.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 278.5033656786203, 320.0]",315.85033656786203,4.149663432137969,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.6294301443162915, 5.768320995793772]",5.754431910646024,0.013889085147748033,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2550.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2600.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2650.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 177.84677669598233, 320.0, 320.0, 320.0, 320.0]",305.78467766959824,14.215322330401765,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.18092237450789, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.709581133665184,0.05873986212858817,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2700.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 222.34289828436494, 320.0, 320.0, 219.2401457208866, 320.0]",300.15830440052514,13.229818553901412,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.404220777091405, 5.768320995793772, 5.768320995793772, 5.390167684841472, 5.768320995793772]",5.694095642828305,0.04949465354008975,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2750.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 183.28560701312048, 320.0, 320.0, 320.0, 320.0]",306.3285607013121,13.671439298687948,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.211045630284893, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.712593459242884,0.055727536550887885,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2800.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2850.0,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",320.0,0.0,"[5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772, 5.768320995793772]",5.768320995793772,0.0,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
