bandwidth,rms_error_list,rms_error_mean,rms_error_sem,tag_model
0.0,,18.621774926666664,3.952623033666667,human
0.05,,15.070202556666667,1.1411338466666667,human
0.1,,13.726476103333333,1.0997884173333332,human
0.166666667,,12.552265914166666,1.3292555495,human
0.333333333,,11.109310435333333,1.3168519206666667,human
1.0,,8.285417619333332,1.6290099113333334,human
2.0,,6.619196821666667,1.451224565333333,human
0.0,"[21.842598268042636, 20.790027061676117, 19.91106351881914, 20.97424417992026, 19.213358716090042, 21.13342427581535, 21.734267376159206, 19.51945206733552, 21.311714834550248, 21.235700010947482]",20.7665850309356,0.2884722503352673,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.05000000074505806,"[22.50205195848464, 21.004932925558396, 20.659836127830946, 21.418397413152732, 19.152305626498624, 21.337907730288514, 22.829568309304257, 19.991439609434273, 22.172542064941982, 20.473010138817987]",21.154199190431235,0.3629267139281323,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.10000000149011612,"[21.077078622125107, 20.0836090220695, 20.21751091869985, 20.468829301476255, 18.705397399999068, 21.01458095258177, 22.275102248478685, 19.243344467797336, 22.609094877309246, 20.13691871899709]",20.583146652953392,0.38461685990532624,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.125,"[21.308332760801466, 19.78055283024896, 20.517625909762877, 20.105801233555535, 18.526581828125614, 20.524650088643686, 22.172338907129593, 19.004029918760736, 22.946471200176738, 20.151453572412116]",20.503783824961733,0.4263918777472025,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.1666666716337204,"[20.129311691888255, 18.97888822344971, 19.964608325373817, 18.64485533949327, 17.569937470085165, 20.44328564414067, 21.483494607268636, 17.766250016242584, 19.282396396994095, 20.169774907514952]",19.443280262245118,0.38920961908491486,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.20000000298023224,"[19.93977418614851, 19.009954717946552, 18.728741702681624, 17.663011690591784, 16.694661173911612, 20.223748416156685, 20.871334710856722, 17.0626825304562, 20.319519750301257, 19.568774538456335]",19.00822034175073,0.45796159948841053,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.25,"[19.112045161893857, 17.26372022583881, 17.660206195933355, 16.802241377724442, 15.154757228892407, 19.324166823524976, 19.081853083941223, 16.422353476091473, 18.013258380356326, 19.124768149098088]",17.795937010329496,0.4432944705208003,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.3333333432674408,"[17.283278384372327, 15.869967103174975, 16.003096547202954, 15.900592090511246, 13.386493125467856, 17.80120453460616, 16.68332500832293, 14.97024074983793, 14.739479375210383, 17.729956326831473]",16.036763324553824,0.44526948574338004,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.5,"[14.056834444304828, 13.663590073391903, 13.318009211941902, 14.110567249692979, 10.321847728994095, 14.409081220592158, 15.208461371792259, 13.095284895201269, 11.102714545113292, 16.25029452262549]",13.55366852636502,0.5581193503213105,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1.0,"[7.998873794602711, 7.067881928481472, 8.783173922002463, 9.398102166093127, 4.807089359280531, 3.9535592357558818, 15.024304633816826, 7.419234801854236, 4.723908902097428, 13.632565673667113]",8.28086944176518,1.1611923659443897,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
1.5,"[3.2989214726760143, 3.4419248752474023, 3.7632648275350173, 3.768049654423121, 3.02392859441888, 3.3247637591344823, 5.21950603441008, 3.261846047813974, 3.4757849589813636, 7.632906475338295]",4.021089669997863,0.4449955327101398,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
2.0,"[3.3436776429823762, 2.4568345560977516, 3.0989681514342164, 3.292087155261513, 2.262104576963036, 3.419604318293813, 3.7247649420968667, 1.859962219901109, 1.7782469350914576, 6.162221431673239]",3.1398471929795377,0.3993123670667714,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
0.0,"[22.43388685179809, 32.19898717001475, 22.584974675236655, 21.6938152850443, 22.15831651978532, 22.969427389349406, 21.677821106557918, 21.57597095202259, 46.67242564207816, 22.37074988574255]",25.633637547762977,2.544547153026383,models/sound_localization/sr20000_IHC3000/arch??
0.05000000074505806,"[22.808446357111333, 33.70981090649058, 22.663023024579324, 21.3505701761533, 22.667196602178265, 22.952752097054262, 21.77981543448797, 21.69776008699499, 48.72324860838977, 22.11477024667141]",26.046739354011116,2.7699007765620656,models/sound_localization/sr20000_IHC3000/arch??
0.10000000149011612,"[22.773661094335264, 31.74617803484098, 22.561028345356956, 21.159837871277244, 22.69023681777797, 23.12013279677564, 21.641218596519522, 21.01222295506864, 45.86505863512662, 22.14591252221144]",25.471548766929025,2.4686670281439325,models/sound_localization/sr20000_IHC3000/arch??
0.125,"[22.4093770591728, 30.386845186039967, 22.283796076242655, 20.78742689986226, 21.516597406745426, 22.81910847758325, 21.04135781594759, 21.561142893707718, 44.488787938673404, 21.985457929284994]",24.927989768326007,2.3430473894706587,models/sound_localization/sr20000_IHC3000/arch??
0.1666666716337204,"[21.448030632624945, 29.52445924472951, 21.812468539433674, 20.554256918640416, 20.794359942191186, 22.4156074969977, 20.70056795147209, 20.4470311067666, 44.44289787098914, 21.583276809554146]",24.372295651339943,2.385962392080915,models/sound_localization/sr20000_IHC3000/arch??
0.20000000298023224,"[21.432273382502903, 28.183759939446055, 21.731780191007598, 19.99346740159742, 20.05735020627843, 21.69983601050669, 20.18584822266502, 19.757767317421507, 46.414505343764105, 21.245455263876305]",24.070204327906602,2.600474327454795,models/sound_localization/sr20000_IHC3000/arch??
