azim_err_lag_list,azim_err_lag_mean,azim_err_lag_sem,azim_err_lead_list,azim_err_lead_mean,azim_err_lead_sem,delay,tag_model
"[42.91464396527911, 43.03099657998484, 42.53919761036088, 42.773628947440656, 43.13737745080631, 42.88064831599448, 42.81257603399574, 42.68586807519947, 42.98255460067491, 40.952207917685385]",42.67096994974217,0.1986035176108419,"[1.2909944487358054, 1.2909944487358058, 1.707825127659932, 1.7078251276599332, 0.912870929175277, 1.4433756729740639, 1.707825127659933, 1.4433756729740632, 0.9128709291752759, 3.2274861218395134]",1.5645443606589602,0.20697135520098137,0.005,models/sound_localization/IHC0320/arch??
"[43.20493798938573, 43.10355747112605, 43.093889744757696, 43.18082136010538, 43.36857541277247, 43.20493798938573, 43.23386018697227, 43.20493798938573, 43.20493798938573, 42.061462963937274]",43.08619190972141,0.11630103912974152,"[0.0, 1.1180339887498951, 0.6454972243679021, 1.1180339887498951, 0.912870929175277, 0.0, 1.58113883008419, 0.0, 0.0, 2.4152294576982385]",0.7790804418825398,0.25849285363202323,0.01,models/sound_localization/IHC0320/arch??
"[43.171170936169894, 43.10355747112605, 43.20493798938573, 42.98740125509644, 43.0987238790199, 43.171170936169894, 43.29645866965719, 43.20493798938573, 43.20493798938573, 43.229041164476456]",43.1672338279873,0.027060234324688875,"[0.6454972243679028, 1.1180339887498951, 0.0, 1.1180339887498951, 3.763863263545405, 0.6454972243679028, 1.1180339887498951, 0.0, 0.0, 1.443375672974064]",0.985233535150496,0.35160713786020226,0.025,models/sound_localization/IHC0320/arch??
"[42.82717206011467, 43.11805499633149, 31.044323152550774, 42.39693385140015, 36.07861785970558, 35.13663804824436, 43.450163022325555, 42.958313126409735, 34.31471987354698, 42.997092924987385]",39.432202891561666,1.4960333398462005,"[2.7386127875258306, 1.58113883008419, 30.936763459245913, 8.416254115301731, 24.392621835300936, 25.584826232228615, 1.1180339887498951, 2.9580398915498076, 26.410225292488512, 4.699290726623894]",12.883580715909932,3.883321620439661,0.05,models/sound_localization/IHC0320/arch??
"[30.645826251981955, 32.44225639501666, 30.69337604978203, 37.69946949228861, 30.815310047658667, 30.56414020820259, 43.56986726320535, 30.673006591029402, 30.876096471758427, 41.892720131306824]",33.98720689022305,1.6157133890904214,"[31.077859214130775, 28.621087796704487, 31.55022451055882, 21.631381524689232, 31.138133106102128, 30.78148794324277, 1.2909944487358067, 30.345235760055207, 30.22140521771503, 24.866309202077684]",26.152411872401196,2.944103081483813,0.1,models/sound_localization/IHC0320/arch??
"[1.1180339887498951, 1.1180339887498951, 0.6454972243679028, 1.7078251276599332, 1.4433756729740648, 0.0, 1.825741858350554, 0.0, 0.912870929175277, 2.0412414523193156]",1.0812620242346838,0.2250610867564416,"[1.2909944487358058, 0.6454972243679029, 0.0, 1.58113883008419, 1.7078251276599332, 0.912870929175277, 1.825741858350554, 0.0, 0.6454972243679029, 1.58113883008419]",1.0190704472825756,0.21598064646028542,0.0,models/sound_localization/IHC0050/arch??
"[42.58325179379016, 43.190469627762404, 42.29361653961505, 42.52450274057691, 42.82717206011467, 42.31823877872676, 42.224597886382135, 43.02615483633182, 43.05035810923451, 40.59967159144681]",42.46380339639812,0.23382514329059895,"[2.581988897471611, 1.4433756729740645, 2.327373340628156, 2.886751345948129, 2.0412414523193148, 2.0412414523193134, 3.095695936834452, 1.1180339887498945, 1.8257418583505531, 3.872983346207417]",2.3234427291802904,0.2585459091447229,0.005,models/sound_localization/IHC0050/arch??
"[43.98389856905971, 43.55073669487884, 43.17117093616989, 43.95546989094, 43.58420967888867, 43.49808424900265, 43.598547376413045, 43.30608117420308, 43.57464859296056, 43.39738855430512]",43.56202357168216,0.0805782390951521,"[2.1408720964441885, 1.825741858350554, 0.6454972243679028, 2.3273733406281574, 1.7078251276599332, 1.4433756729740648, 2.041241452319315, 1.4433756729740645, 1.4433756729740648, 1.825741858350554]",1.6844419977042802,0.1506732384395238,0.01,models/sound_localization/IHC0050/arch??
"[44.13048832723245, 43.41658669218482, 43.069710934716056, 43.71784532659404, 43.37337893224368, 43.32531977185319, 43.979161732196154, 43.069710934716056, 43.612880360431745, 43.87482193696061]",43.55699049491288,0.1163865014138524,"[2.041241452319315, 1.2909944487358058, 1.2909944487358056, 2.1408720964441885, 1.1180339887498951, 0.6454972243679028, 2.0412414523193156, 1.2909944487358056, 1.4433756729740648, 2.2360679774997902]",1.5539313210881889,0.16732009111207688,0.025,models/sound_localization/IHC0050/arch??
"[44.15408625861635, 43.0938897447577, 42.19004621945797, 32.67261850540908, 36.611701226065236, 39.796356617157805, 43.865324194250135, 42.90007770000734, 42.09612016959916, 38.32427429188973]",40.57044949272105,1.1744326270147127,"[2.5000000000000004, 7.33143914930759, 9.309493362512628, 29.73494016584978, 24.435288689379817, 16.94353367315488, 4.183300132670378, 4.133198922545748, 12.861441080480313, 22.849142945268937]",13.428177812117008,3.043980836184051,0.05,models/sound_localization/IHC0050/arch??
"[38.91764809611872, 39.90613987846983, 32.287768581925874, 33.322915038553674, 32.009113285646215, 31.72801075810878, 38.47076812334269, 31.39134700306227, 32.19083720563974, 31.47750519550959]",34.170205316637734,1.0940276565071059,"[22.903784257919764, 17.488091186099563, 29.368350311176822, 29.219000667373958, 29.853810477056356, 31.25166662222459, 21.984843263788196, 29.92351360830921, 31.084562084739105, 31.31825878514534]",27.439588126383292,1.5315449759823743,0.1,models/sound_localization/IHC0050/arch??
