background_condition,correct_word,fn_eval,snr,tag_expt,tag_model
0,0.0666666666666666,0000,-9.0,kell_like,human
0,0.0714285714285714,0001,-9.0,kell_like,human
0,0.1,0002,-9.0,kell_like,human
0,0.2857142857142857,0003,-9.0,kell_like,human
0,0.0714285714285714,0004,-9.0,kell_like,human
0,0.4285714285714285,0005,-9.0,kell_like,human
0,0.2,0006,-9.0,kell_like,human
0,0.3571428571428571,0007,-9.0,kell_like,human
0,0.1333333333333333,0008,-9.0,kell_like,human
0,0.2,0009,-9.0,kell_like,human
0,0.1428571428571428,0010,-9.0,kell_like,human
0,0.1333333333333333,0011,-9.0,kell_like,human
0,0.125,0012,-9.0,kell_like,human
0,0.2,0013,-9.0,kell_like,human
0,0.1428571428571428,0014,-9.0,kell_like,human
0,0.1428571428571428,0015,-9.0,kell_like,human
0,0.1333333333333333,0016,-9.0,kell_like,human
0,0.1333333333333333,0017,-9.0,kell_like,human
0,0.0714285714285714,0018,-9.0,kell_like,human
0,0.1428571428571428,0019,-9.0,kell_like,human
0,0.2,0020,-9.0,kell_like,human
0,0.0714285714285714,0021,-9.0,kell_like,human
0,0.3333333333333333,0022,-9.0,kell_like,human
0,0.2666666666666666,0023,-9.0,kell_like,human
0,0.2222222222222222,0024,-9.0,kell_like,human
0,0.1428571428571428,0025,-9.0,kell_like,human
0,0.2,0026,-9.0,kell_like,human
0,0.2142857142857142,0027,-9.0,kell_like,human
0,0.0,0028,-9.0,kell_like,human
0,0.1428571428571428,0029,-9.0,kell_like,human
0,0.0,0030,-9.0,kell_like,human
0,0.1428571428571428,0031,-9.0,kell_like,human
0,0.3571428571428571,0032,-9.0,kell_like,human
0,0.1818181818181818,0033,-9.0,kell_like,human
0,0.0714285714285714,0034,-9.0,kell_like,human
0,0.2857142857142857,0035,-9.0,kell_like,human
0,0.4,0036,-9.0,kell_like,human
0,0.1428571428571428,0037,-9.0,kell_like,human
0,0.0909090909090909,0038,-9.0,kell_like,human
0,0.2142857142857142,0039,-9.0,kell_like,human
0,0.3,0040,-9.0,kell_like,human
0,0.1428571428571428,0041,-9.0,kell_like,human
0,0.1428571428571428,0042,-9.0,kell_like,human
0,0.0,0043,-9.0,kell_like,human
0,0.4615384615384615,0000,-6.0,kell_like,human
0,0.2142857142857142,0001,-6.0,kell_like,human
0,0.4615384615384615,0002,-6.0,kell_like,human
0,0.2,0003,-6.0,kell_like,human
0,0.2857142857142857,0004,-6.0,kell_like,human
0,0.2,0005,-6.0,kell_like,human
0,0.5,0006,-6.0,kell_like,human
0,0.4285714285714285,0007,-6.0,kell_like,human
0,0.2857142857142857,0008,-6.0,kell_like,human
0,0.2142857142857142,0009,-6.0,kell_like,human
0,0.0666666666666666,0010,-6.0,kell_like,human
0,0.25,0011,-6.0,kell_like,human
0,0.2222222222222222,0012,-6.0,kell_like,human
0,0.1428571428571428,0013,-6.0,kell_like,human
0,0.5714285714285714,0014,-6.0,kell_like,human
0,0.2222222222222222,0015,-6.0,kell_like,human
0,0.3333333333333333,0016,-6.0,kell_like,human
0,0.1428571428571428,0017,-6.0,kell_like,human
0,0.2666666666666666,0018,-6.0,kell_like,human
0,0.2666666666666666,0019,-6.0,kell_like,human
0,0.4285714285714285,0020,-6.0,kell_like,human
0,0.4285714285714285,0021,-6.0,kell_like,human
0,0.0,0022,-6.0,kell_like,human
0,0.2222222222222222,0023,-6.0,kell_like,human
0,0.2857142857142857,0024,-6.0,kell_like,human
0,0.0833333333333333,0025,-6.0,kell_like,human
0,0.2,0026,-6.0,kell_like,human
0,0.2142857142857142,0027,-6.0,kell_like,human
0,0.4,0028,-6.0,kell_like,human
0,0.2,0029,-6.0,kell_like,human
0,0.4,0030,-6.0,kell_like,human
0,0.1333333333333333,0031,-6.0,kell_like,human
0,0.0,0032,-6.0,kell_like,human
0,0.2857142857142857,0033,-6.0,kell_like,human
0,0.1428571428571428,0034,-6.0,kell_like,human
0,0.3333333333333333,0035,-6.0,kell_like,human
0,0.2666666666666666,0036,-6.0,kell_like,human
0,0.2142857142857142,0037,-6.0,kell_like,human
0,0.3571428571428571,0038,-6.0,kell_like,human
0,0.3571428571428571,0039,-6.0,kell_like,human
0,0.3571428571428571,0040,-6.0,kell_like,human
0,0.6666666666666666,0041,-6.0,kell_like,human
0,0.3571428571428571,0042,-6.0,kell_like,human
0,0.1818181818181818,0043,-6.0,kell_like,human
0,0.3571428571428571,0000,-3.0,kell_like,human
0,0.3571428571428571,0001,-3.0,kell_like,human
0,0.5833333333333334,0002,-3.0,kell_like,human
0,0.5,0003,-3.0,kell_like,human
0,0.3333333333333333,0004,-3.0,kell_like,human
0,0.3571428571428571,0005,-3.0,kell_like,human
0,0.6,0006,-3.0,kell_like,human
0,0.3333333333333333,0007,-3.0,kell_like,human
0,0.3333333333333333,0008,-3.0,kell_like,human
0,0.3571428571428571,0009,-3.0,kell_like,human
0,0.2857142857142857,0010,-3.0,kell_like,human
0,0.5333333333333333,0011,-3.0,kell_like,human
0,0.5714285714285714,0012,-3.0,kell_like,human
0,0.2666666666666666,0013,-3.0,kell_like,human
0,0.3076923076923077,0014,-3.0,kell_like,human
0,0.5333333333333333,0015,-3.0,kell_like,human
0,0.5,0016,-3.0,kell_like,human
0,0.5,0017,-3.0,kell_like,human
0,0.6363636363636364,0018,-3.0,kell_like,human
0,0.6,0019,-3.0,kell_like,human
0,0.6428571428571429,0020,-3.0,kell_like,human
0,0.4666666666666667,0021,-3.0,kell_like,human
0,0.4666666666666667,0022,-3.0,kell_like,human
0,0.5,0023,-3.0,kell_like,human
0,0.3333333333333333,0024,-3.0,kell_like,human
0,0.6,0025,-3.0,kell_like,human
0,0.6,0026,-3.0,kell_like,human
0,0.6666666666666666,0027,-3.0,kell_like,human
0,0.4285714285714285,0028,-3.0,kell_like,human
0,0.3333333333333333,0029,-3.0,kell_like,human
0,0.1333333333333333,0030,-3.0,kell_like,human
0,0.3636363636363636,0031,-3.0,kell_like,human
0,0.3333333333333333,0032,-3.0,kell_like,human
0,0.5,0033,-3.0,kell_like,human
0,0.7333333333333333,0034,-3.0,kell_like,human
0,0.5,0035,-3.0,kell_like,human
0,0.4285714285714285,0036,-3.0,kell_like,human
0,0.5,0037,-3.0,kell_like,human
0,0.4285714285714285,0038,-3.0,kell_like,human
0,0.1428571428571428,0039,-3.0,kell_like,human
0,0.0,0040,-3.0,kell_like,human
0,0.5,0041,-3.0,kell_like,human
0,0.2857142857142857,0042,-3.0,kell_like,human
0,0.5,0043,-3.0,kell_like,human
0,0.4166666666666667,0000,0.0,kell_like,human
0,0.4285714285714285,0001,0.0,kell_like,human
0,0.6428571428571429,0002,0.0,kell_like,human
0,0.7142857142857143,0003,0.0,kell_like,human
0,0.3571428571428571,0004,0.0,kell_like,human
0,0.8571428571428571,0005,0.0,kell_like,human
0,0.7142857142857143,0006,0.0,kell_like,human
0,0.5,0007,0.0,kell_like,human
0,0.6428571428571429,0008,0.0,kell_like,human
0,0.7777777777777778,0009,0.0,kell_like,human
0,0.6,0010,0.0,kell_like,human
0,0.7333333333333333,0011,0.0,kell_like,human
0,0.5,0012,0.0,kell_like,human
