fn_eval,snr,deg_err,deg_azim_err,deg_elev_err,correct,correct_azim,correct_elev
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,-13.6,40.27084558754677,37.66233766233766,15.324675324675324,0.012987012987012988,0.09090909090909091,0.15584415584415584
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,-6.8,32.86076934466628,26.710526315789473,15.657894736842104,0.013157894736842105,0.18421052631578946,0.13157894736842105
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,0.0,17.074129743198178,9.74025974025974,11.168831168831169,0.15584415584415584,0.42857142857142855,0.3116883116883117
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,6.8,18.781823451651867,11.168831168831169,13.246753246753247,0.1038961038961039,0.35064935064935066,0.19480519480519481
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,13.6,14.57289467911855,8.552631578947368,9.342105263157896,0.10526315789473684,0.40789473684210525,0.34210526315789475
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectAMG_seed0008.csv,inf,15.626407281217547,8.96103896103896,10.519480519480519,0.15584415584415584,0.4155844155844156,0.35064935064935066
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,-13.6,45.982487048918,47.23684210526316,14.473684210526315,0.02631578947368421,0.05263157894736842,0.2236842105263158
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,-6.8,24.84714327216042,18.181818181818183,14.935064935064934,0.09090909090909091,0.3116883116883117,0.18181818181818182
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,0.0,21.787275535872578,15.394736842105264,12.499999999999998,0.10526315789473684,0.3815789473684211,0.2631578947368421
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,6.8,12.946083294905366,5.194805194805195,10.38961038961039,0.14285714285714285,0.5714285714285714,0.2597402597402597
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,13.6,14.608918697630198,6.493506493506494,10.909090909090908,0.18181818181818182,0.5974025974025974,0.24675324675324675
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectANB_seed0010.csv,inf,12.849203907760204,5.584415584415584,9.480519480519481,0.18181818181818182,0.6363636363636364,0.3246753246753247
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,-13.6,43.84772847149062,39.22077922077922,16.883116883116884,0.0,0.1038961038961039,0.16883116883116883
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,-6.8,24.031348517512125,17.894736842105264,12.631578947368421,0.10526315789473684,0.27631578947368424,0.2631578947368421
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,0.0,17.73459602095161,11.03896103896104,11.2987012987013,0.18181818181818182,0.4155844155844156,0.33766233766233766
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,6.8,13.333723723219467,8.051948051948052,8.7012987012987,0.2077922077922078,0.44155844155844154,0.42857142857142855
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,13.6,13.458595437712098,9.210526315789474,7.7631578947368425,0.2894736842105263,0.4868421052631579,0.4473684210526316
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectASS_seed0006.csv,inf,9.007461766545,5.064935064935065,5.454545454545454,0.42857142857142855,0.7012987012987013,0.5714285714285714
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,-13.6,39.12457058564338,36.103896103896105,15.324675324675324,0.025974025974025976,0.07792207792207792,0.16883116883116883
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,-6.8,25.969721809261806,19.350649350649352,14.935064935064934,0.07792207792207792,0.3116883116883117,0.14285714285714285
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,0.0,17.706691678307337,10.64935064935065,11.2987012987013,0.09090909090909091,0.33766233766233766,0.33766233766233766
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,6.8,16.66392299175023,7.368421052631579,12.631578947368421,0.05263157894736842,0.4605263157894737,0.18421052631578946
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,13.6,19.115331415558078,11.973684210526315,11.052631578947368,0.14473684210526316,0.5131578947368421,0.3026315789473684
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCFC_seed0002.csv,inf,11.936336504546487,5.454545454545454,8.7012987012987,0.2077922077922078,0.5844155844155844,0.33766233766233766
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCRL_seed0004.csv,-13.6,42.97606522964742,42.20779220779221,12.857142857142856,0.012987012987012988,0.06493506493506493,0.2077922077922078
/om2/user/msaddler/speaker_array_experiments/localization_in_noise/data/v01_subjectCRL_seed0004.csv,-6.8,23.333166384468598,15.324675324675324,13.896103896103897,0.025974025974025976,0.2597402597402597,0.23376623376623376
