subject,new_ears,azim_pred,elev_pred,azim_true,elev_true,azim_ref,elev_ref
PH,1.00000,30.02123,-18.65672,20.00000,-20.00000,19.44259,-19.61194
MZ,1.00000,-25.38462,14.83824,-20.00000,20.00000,-19.46746,19.42967
MZ,1.00000,-10.00000,15.05888,-6.66667,20.00000,,
MZ,1.00000,3.96450,15.39880,6.66667,20.00000,,
MZ,1.00000,19.11243,16.79846,20.00000,20.00000,19.46746,19.39143
MZ,1.00000,-25.50296,7.76566,-20.00000,6.66667,,
MZ,1.00000,-11.30178,11.28806,-6.66667,6.66667,,
MZ,1.00000,4.43787,12.56926,6.66667,6.66667,,
MZ,1.00000,18.75740,10.90490,20.00000,6.66667,,
MZ,1.00000,-23.01775,6.34868,-20.00000,-6.66667,,
MZ,1.00000,-9.17160,10.34294,-6.66667,-6.66667,,
MZ,1.00000,6.09467,11.27097,6.66667,-6.66667,,
MZ,1.00000,17.69231,8.66626,20.00000,-6.66667,,
MZ,1.00000,-23.96450,3.99205,-20.00000,-20.00000,-19.34911,-19.47025
MZ,1.00000,-9.76331,9.04686,-6.66667,-20.00000,,
MZ,1.00000,2.30769,11.03893,6.66667,-20.00000,,
MZ,1.00000,20.41420,8.42783,20.00000,-20.00000,19.46746,-19.62625
JO,1.00000,-34.89796,-18.30262,-20.00000,20.00000,-19.62099,19.52473
JO,1.00000,-19.73761,-19.81571,-6.66667,20.00000,,
JO,1.00000,1.13703,-14.57808,6.66667,20.00000,,
JO,1.00000,21.25364,-15.85839,20.00000,20.00000,19.44606,19.52473
JO,1.00000,-31.86589,-19.35015,-20.00000,6.66667,,
JO,1.00000,-18.22157,-20.63046,-6.66667,6.66667,,
JO,1.00000,-0.26239,-17.72066,6.66667,6.66667,,
JO,1.00000,19.21283,-18.41901,20.00000,6.66667,,
JO,1.00000,-33.61516,-20.74685,-20.00000,-6.66667,,
JO,1.00000,-19.38776,-21.32881,-6.66667,-6.66667,,
JO,1.00000,1.37026,-19.58293,6.66667,-6.66667,,
JO,1.00000,18.68805,-19.87391,20.00000,-6.66667,,
JO,1.00000,-31.39942,-23.19108,-20.00000,-20.00000,-19.73761,-21.32881
JO,1.00000,-18.22157,-21.67798,-6.66667,-20.00000,,
JO,1.00000,1.48688,-21.67798,6.66667,-20.00000,,
JO,1.00000,20.49563,-21.32881,20.00000,-20.00000,19.67930,-21.32881
JR,1.00000,-27.86744,-2.60618,-20.00000,20.00000,-19.22190,19.63320
JR,1.00000,-10.34582,-8.39768,-6.66667,20.00000,,
JR,1.00000,11.09510,-7.58687,6.66667,20.00000,,
JR,1.00000,24.35159,-0.17375,20.00000,20.00000,19.62536,19.63320
JR,1.00000,-29.02017,-7.47104,-20.00000,6.66667,,
JR,1.00000,-9.53890,-9.20849,-6.66667,6.66667,,
JR,1.00000,7.29107,-11.29344,6.66667,6.66667,,
JR,1.00000,26.77233,-1.21622,20.00000,6.66667,,
JR,1.00000,-27.52161,-10.83012,-20.00000,-6.66667,,
JR,1.00000,-9.07781,-13.03089,-6.66667,-6.66667,,
JR,1.00000,12.93948,-9.78764,6.66667,-6.66667,,
JR,1.00000,24.92795,-2.25869,20.00000,-6.66667,,
JR,1.00000,-25.44669,-8.16602,-20.00000,-20.00000,-19.51009,-19.57529
JR,1.00000,-7.80980,-11.87259,-6.66667,-20.00000,,
JR,1.00000,10.40346,-10.01931,6.66667,-20.00000,,
JR,1.00000,24.35159,-6.89189,20.00000,-20.00000,19.51009,-19.45946
