deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,snr,tag_model
"[37.66233766233766, 47.23684210526316, 39.22077922077922, 36.103896103896105, 42.20779220779221, 36.05263157894737, 34.8051948051948, 32.89473684210526, 37.23684210526316, 39.35064935064935, 40.26315789473684]",38.457714534269556,1.1813361070162998,"[15.324675324675324, 14.473684210526317, 16.883116883116884, 15.324675324675324, 12.857142857142856, 16.44736842105263, 14.155844155844155, 13.68421052631579, 16.31578947368421, 17.01298701298701, 13.289473684210526]",15.06990617038464,0.4453817777955392,"[40.27084558754677, 45.982487048918, 43.84772847149062, 39.12457058564338, 42.97606522964742, 41.693321100894856, 39.0514682043301, 36.25482478081785, 41.60222484783472, 44.80243026846515, 41.8804172026322]",41.58967121165646,0.849888120411431,-13.6,human
"[26.710526315789476, 18.181818181818183, 17.894736842105264, 19.350649350649352, 15.324675324675324, 15.844155844155845, 14.342105263157896, 19.86842105263158, 17.272727272727273, 21.18421052631579, 19.22077922077922]",18.654073199527748,1.017440517700349,"[15.657894736842104, 14.935064935064934, 12.63157894736842, 14.935064935064934, 13.896103896103895, 16.623376623376622, 11.447368421052632, 11.447368421052632, 11.688311688311687, 15.526315789473683, 12.467532467532466]",13.750543714658546,0.5691470965151009,"[32.86076934466628, 24.84714327216042, 24.031348517512125, 25.96972180926181, 23.3331663844686, 25.86276028226092, 20.156163944514333, 24.21266534931876, 23.10053042903791, 28.580944514622544, 24.85951214404989]",25.25588418107942,0.9864061508709547,-6.8,human
"[9.74025974025974, 15.394736842105264, 11.03896103896104, 10.64935064935065, 10.51948051948052, 8.441558441558442, 8.7012987012987, 10.38961038961039, 13.506493506493506, 12.207792207792208, 6.883116883116883]",10.679332629093395,0.7199567588167233,"[11.168831168831169, 12.499999999999998, 11.2987012987013, 11.2987012987013, 13.896103896103895, 12.727272727272728, 12.727272727272728, 11.2987012987013, 10.909090909090908, 10.38961038961039, 13.246753246753247]",11.951003541912632,0.33548860262362223,"[17.074129743198178, 21.787275535872578, 17.73459602095161, 17.706691678307337, 19.71367349189648, 18.01524802589833, 16.97450100017768, 17.957493386622904, 18.747055082118365, 17.858018159840892, 16.44883240905058]",18.183410412175903,0.44682580470249655,0.0,human
"[11.168831168831169, 5.194805194805195, 8.051948051948052, 7.368421052631579, 6.623376623376624, 8.181818181818182, 5.8441558441558445, 9.48051948051948, 8.026315789473685, 9.86842105263158, 9.22077922077922]",8.093581060088237,0.5390700010286903,"[13.246753246753247, 10.38961038961039, 8.7012987012987, 12.63157894736842, 8.571428571428571, 15.194805194805197, 9.48051948051948, 11.168831168831169, 9.210526315789474, 10.263157894736842, 8.7012987012987]",10.687255328403653,0.6547137227174056,"[18.781823451651867, 12.946083294905366, 13.333723723219467, 16.66392299175023, 12.209688251409972, 19.11448805345172, 12.638826064072406, 16.611344855416366, 13.660900814190734, 16.219184216413662, 14.686773943773185]",15.169705423659543,0.7386302624412115,6.8,human
"[8.552631578947368, 6.493506493506494, 9.210526315789474, 11.973684210526317, 4.473684210526316, 5.657894736842105, 6.052631578947368, 6.233766233766234, 7.142857142857143, 6.233766233766234, 6.753246753246753]",7.161654135338346,0.6204123092716756,"[9.342105263157896, 10.909090909090908, 7.763157894736842, 11.052631578947368, 9.473684210526317, 12.63157894736842, 8.157894736842104, 7.012987012987013, 8.181818181818182, 8.441558441558442, 9.35064935064935]",9.301559684334803,0.5016224215945078,"[14.57289467911855, 14.608918697630198, 13.458595437712098, 19.11533141555808, 12.070550129172778, 15.146224974187612, 11.907437784126731, 10.998645389891957, 12.332988055477218, 11.70609528146074, 12.92055972155816]",13.530749233263101,0.6899686369412185,13.6,human
"[8.96103896103896, 5.584415584415584, 5.064935064935065, 5.454545454545454, 2.3684210526315788, 3.5064935064935066, 5.064935064935065, 4.285714285714287, 6.103896103896104, 3.2467532467532467, 4.342105263157895]",4.907568508046977,0.526943987783526,"[10.51948051948052, 9.48051948051948, 5.454545454545454, 8.7012987012987, 5.394736842105263, 9.999999999999998, 8.831168831168831, 5.714285714285714, 5.8441558441558445, 6.753246753246753, 8.157894736842104]",7.713757534331696,0.5841801750798492,"[15.626407281217547, 12.849203907760204, 9.007461766545, 11.936336504546489, 6.753977087990183, 12.103800467567677, 11.71949154182965, 8.306613172966149, 10.33192643975439, 8.848206281076223, 10.249747433590672]",10.703015625894926,0.7468627798211414,inf,human
"[47.83386727688787, 46.44576659038901, 47.785812356979406, 48.112356979405035, 49.105949656750575, 47.74713958810069, 48.3533180778032, 46.33135011441647, 48.16315789473684, 48.18558352402746]",47.80643020594966,0.2663414733369118,"[15.106864988558353, 15.008924485125858, 15.507093821510297, 15.647139588100686, 15.81807780320366, 14.435697940503433, 16.00274599542334, 15.549427917620138, 16.097940503432493, 15.111899313501144]",15.428581235697939,0.1620585726237349,"[47.85207306127782, 46.94267797182363, 48.29646443592327, 48.92911223823373, 49.76603825826061, 47.53527776823097, 49.02121644727643, 47.26142026563986, 49.45458567337271, 48.46086747794962]",48.35197335979886,0.30006591415401146,-13.6,models/sound_localization/simplified_IHC0050/arch??
"[43.22128146453089, 35.4837528604119, 45.1837528604119, 47.2883295194508, 46.49267734553776, 44.30503432494279, 47.74462242562929, 35.91990846681922, 45.65858123569794, 34.97894736842105]",42.627688787185356,1.6202253409650058,"[14.608924485125858, 14.001144164759726, 15.114187643020594, 15.334096109839816, 15.58512585812357, 13.947826086956521, 15.989931350114416, 14.32883295194508, 15.736155606407323, 14.321739130434782]",14.896796338672768,0.23689276736624326,"[44.23146863781628, 37.9895055051505, 46.186278054997764, 48.143277210213036, 47.54591100389165, 44.72169719179032, 48.48611681007909, 38.5859418642003, 47.398063810758956, 37.504338597229236]",44.07925986861271,1.391783085935711,-6.8,models/sound_localization/simplified_IHC0050/arch??
"[30.3162471395881, 20.864073226544622, 34.922425629290615, 42.154691075514876, 38.63592677345538, 32.21739130434783, 42.60320366132723, 21.751487414187643, 36.598398169336384, 22.544622425629292]",32.260846681922196,2.603232932990476,"[12.725400457665904, 11.684439359267735, 13.318993135011441, 14.370938215102974, 14.292448512585812, 12.283981693363845, 15.027459954233409, 12.078489702517162, 14.102288329519451, 12.465446224256294]",13.234988558352404,0.3632997608405151,"[33.16633108870209, 25.351074240468, 37.17720402575686, 43.66120645911646, 40.63652354239217, 34.3706155733028, 43.94194196651322, 26.243854954608505, 39.406438204303186, 26.883290967890275]",35.08384810230535,2.2366719011191605,0.0,models/sound_localization/simplified_IHC0050/arch??
"[19.921739130434784, 13.374141876430206, 23.38878718535469, 31.717391304347824, 28.3395881006865, 20.049199084668192, 32.074141876430204, 14.530663615560641, 25.161556064073228, 16.795423340961097]",22.535263157894736,2.1358691458826593,"[10.267048054919908, 9.291762013729977, 10.943478260869565, 12.27437070938215, 12.097482837528604, 9.985354691075514, 13.046681922196797, 9.821052631578947, 11.418077803203662, 10.834782608695653]",10.998009153318078,0.38147891531104683,"[23.572752044990008, 17.968130774680947, 26.705046724031618, 34.14094059257554, 31.259690114753806, 23.446683072063855, 34.54806380412329, 19.183864397488552, 28.618301375646393, 21.572153173303047]",26.101562607365707,1.8774850414370912,6.8,models/sound_localization/simplified_IHC0050/arch??
