bandwidth,rms_error_list,rms_error_mean,rms_error_sem,tag_model
0.0,,18.621774926666664,3.952623033666667,human
0.05,,15.070202556666667,1.1411338466666667,human
0.1,,13.726476103333333,1.0997884173333332,human
0.166666667,,12.552265914166666,1.3292555495,human
0.333333333,,11.109310435333333,1.3168519206666667,human
1.0,,8.285417619333332,1.6290099113333334,human
2.0,,6.619196821666667,1.451224565333333,human
0.0,"[21.2539344529367, 23.405166134890003, 20.510599325341147, 19.63495687623305, 23.289211824091158, 21.139604605642056, 24.681940729979036, 23.273733406281572, 23.87637076862983, 22.720392078840018]",22.378591020286457,0.518189365298093,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.05000000074505806,"[21.5289455267901, 30.703464017968766, 21.071307505705477, 20.787210205030114, 22.92427801529467, 21.808751033051426, 23.149728074210934, 24.68212323134311, 27.304258322146797, 21.4032497322042]",23.53633156637456,1.014342442537661,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.10000000149011612,"[21.572003878901732, 30.486298798221053, 21.71954738798069, 19.087281742676833, 22.487834548988985, 22.89143984152194, 21.909724691014173, 25.079333583111275, 26.7667603467334, 21.456429767749768]",23.345665458689986,1.033846320546563,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.125,"[21.917124819655527, 31.553472417811985, 21.792841208248362, 18.641231061694814, 21.295010624028283, 23.026815546971193, 21.236548471703, 26.52535757712975, 27.844322694335848, 21.046281047870334]",23.487900546944907,1.238907376697554,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.1666666716337204,"[21.37334367430187, 30.446230850024328, 22.236444397867647, 16.69601020473924, 20.339682954822642, 21.757053324597276, 18.99430924734521, 26.177323244599556, 26.277280976073143, 21.02786653874261]",22.532554541311352,1.2720221967493575,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.20000000298023224,"[21.785605628777287, 30.857854870473535, 21.503404297840756, 16.43222498683663, 19.702060074296067, 22.349194314034825, 18.069435644327815, 25.95370098068086, 26.521451457026018, 20.92629709026205]",22.410122934455583,1.3587256648711807,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.25,"[19.87460691435179, 29.768627297394335, 20.886221157361955, 15.431919651946874, 18.50152172947691, 21.978900611087717, 17.169268586162424, 25.76994548092972, 25.637458518333663, 20.60503743184097]",21.562350737888636,1.3836303103365537,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.3333333432674408,"[19.091057290482066, 28.16345469185519, 19.42043133282969, 12.719425450223126, 17.48538643378346, 20.434029204969576, 15.871386231230746, 24.541378919679296, 24.203901107648512, 19.975660865839384]",20.190611152854103,1.4232284217867501,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.5,"[17.5648092082585, 27.09226810348279, 17.494400648609087, 10.377123141058156, 15.594524333534165, 19.521759631219187, 13.750348070942499, 22.645923205686223, 22.099284567116158, 19.341408689392043]",18.54818495992988,1.5076370983953977,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1.0,"[12.483141785176874, 18.15424403759563, 12.590214990758241, 6.850396187661552, 10.0874554153541, 13.351451653706471, 9.11982297915761, 14.308379703157508, 15.231546211727817, 16.99469975668355]",12.917135272097937,1.1108642741818426,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
1.5,"[6.716257001344433, 11.642961760589897, 8.06281644396107, 4.27437366993929, 3.534896815395818, 9.044434852537874, 4.491232700625873, 6.724300425785289, 10.19892239494046, 12.432158242178168]",7.712235430729817,0.9855706402168127,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
2.0,"[2.5539229672256214, 5.608873278962493, 3.1465697038045897, 2.013468165642073, 1.9382354750537292, 2.5058490136636884, 2.871104881964998, 2.687977906387109, 4.68657273110788, 7.02248640549167]",3.5035060529303848,0.5372271823552478,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
0.0,"[25.391351297650953, 23.503497918701683, 22.11741802698001, 23.799651750045072, 26.384202207497694, 23.920852978253247, 27.444784863726227, 25.003603343921856, 27.14044221459193, 28.147616032060128]",25.28534206334288,0.6224961200931568,models/sound_localization/simplified_IHC3000/arch??
0.05000000074505806,"[27.515106415950513, 24.834225148748626, 23.878257289240587, 24.4498014877993, 25.835759839541907, 22.67673332370062, 26.578966146963683, 25.33220718217662, 27.862758896658697, 26.3178766360554]",25.528169236683595,0.5137702130443125,models/sound_localization/simplified_IHC3000/arch??
0.10000000149011612,"[27.41982579898798, 23.887687657486264, 23.804382971390975, 23.6412755558982, 25.170768116360048, 22.550443954000606, 25.869910170935118, 25.41280800720005, 28.048863412600852, 26.06402373643282]",25.18699893812929,0.5517960287299379,models/sound_localization/simplified_IHC3000/arch??
0.125,"[28.08786086422261, 24.565411852021928, 23.583472606471258, 23.398814168767284, 25.157342703312125, 22.678123760516375, 25.879659131386504, 25.01188906489461, 27.63745337090284, 26.319074711959267]",25.231910223445478,0.5641335528933838,models/sound_localization/simplified_IHC3000/arch??
0.1666666716337204,"[25.838026310142258, 23.459952458804544, 23.153035720247637, 22.747141192519827, 24.017448612161903, 21.801520733799887, 24.76393046857167, 22.52506111819407, 26.98831912827046, 25.838200645799866]",24.113263638851212,0.5346898587840405,models/sound_localization/simplified_IHC3000/arch??
0.20000000298023224,"[26.934187391685878, 26.44950994964891, 23.027598013476574, 22.286625892981057, 24.588688529557725, 21.83290350997035, 25.00234223262127, 23.25398348128225, 26.622316723901918, 25.63552574417346]",24.56336814692994,0.5913498292225614,models/sound_localization/simplified_IHC3000/arch??
