condition,f0_shift_in_semitones,correct_word,correct_word_mean,correct_word_sem,correct_spkr,correct_spkr_mean,correct_spkr_sem,model,subject
harmonic,-12.0,0.8857142857142857,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,0
harmonic,-12.0,0.7142857142857143,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,1
harmonic,-12.0,0.7777777777777778,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,2
harmonic,-12.0,0.8,0.7790250994796449,0.02228353595230748,0.75,0.3507662835249042,0.039096682709881904,human,3
harmonic,-12.0,0.8285714285714286,0.7790250994796449,0.02228353595230748,0.6666666666666666,0.3507662835249042,0.039096682709881904,human,4
harmonic,-12.0,0.7777777777777778,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,5
harmonic,-12.0,0.6857142857142857,0.7790250994796449,0.02228353595230748,0.25,0.3507662835249042,0.039096682709881904,human,6
harmonic,-12.0,0.8285714285714286,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,7
harmonic,-12.0,0.8333333333333334,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,8
harmonic,-12.0,0.8571428571428571,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,9
harmonic,-12.0,0.7037037037037037,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,10
harmonic,-12.0,0.7142857142857143,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,11
harmonic,-12.0,0.8333333333333334,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,12
harmonic,-12.0,0.7142857142857143,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,13
harmonic,-12.0,0.8611111111111112,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,14
harmonic,-12.0,0.8333333333333334,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,15
harmonic,-12.0,0.7428571428571429,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,16
harmonic,-12.0,0.6,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,17
harmonic,-12.0,0.8181818181818182,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,18
harmonic,-12.0,0.8285714285714286,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,19
harmonic,-12.0,1.0,0.7790250994796449,0.02228353595230748,0.6666666666666666,0.3507662835249042,0.039096682709881904,human,20
harmonic,-12.0,0.5,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,21
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,22
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,23
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,24
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,25
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,26
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,27
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.6666666666666666,0.3507662835249042,0.039096682709881904,human,28
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.25,0.3507662835249042,0.039096682709881904,human,29
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,30
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,31
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.2,0.3507662835249042,0.039096682709881904,human,32
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.3333333333333333,0.3507662835249042,0.039096682709881904,human,33
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,34
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,35
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.6666666666666666,0.3507662835249042,0.039096682709881904,human,36
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,37
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.75,0.3507662835249042,0.039096682709881904,human,38
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,39
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,1.0,0.3507662835249042,0.039096682709881904,human,40
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,41
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,42
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.0,0.3507662835249042,0.039096682709881904,human,43
harmonic,-12.0,,0.7790250994796449,0.02228353595230748,0.5,0.3507662835249042,0.039096682709881904,human,44
