azim_ref,model,maa,log_maa,log_maa_mean,log_maa_sem,subject
0,human,1.206159676,0.18744149086741144,0.07594675792917521,0.07096665750367734,S1_0250Hz
0,human,1.01085057,0.01079212495992114,0.07594675792917521,0.07096665750367734,S1_0500Hz
0,human,0.910906957,-0.09331451975916617,0.07594675792917521,0.07096665750367734,S1_0750Hz
0,human,1.220020834,0.19886793564853442,0.07594675792917521,0.07096665750367734,S1_1000Hz
30,human,1.698858891,0.5299567850911084,0.4914131702123265,0.028157202545900102,S1_0250Hz
30,human,1.716755368,0.5404360953522632,0.4914131702123265,0.028157202545900102,S1_0500Hz
30,human,1.612129362,0.47755589024427986,0.4914131702123265,0.028157202545900102,S1_0750Hz
30,human,1.518471004,0.4177039101616545,0.4914131702123265,0.028157202545900102,S1_1000Hz
45,human,2.501535832,0.9169048760490089,0.7578394195425717,0.0617547715739995,S1_0250Hz
45,human,2.212628953,0.7941813800433183,0.7578394195425717,0.0617547715739995,S1_0500Hz
45,human,1.925477741,0.6551741140917519,0.7578394195425717,0.0617547715739995,S1_0750Hz
45,human,1.944679745,0.6650973079862078,0.7578394195425717,0.0617547715739995,S1_1000Hz
60,human,3.60253852,1.2816387414089758,1.2391208522198272,0.021471734908762124,S1_0250Hz
60,human,3.257938762,1.1810947138092187,1.2391208522198272,0.021471734908762124,S1_0500Hz
60,human,3.517565748,1.2577692015161548,1.2391208522198272,0.021471734908762124,S1_0750Hz
60,human,3.441752372,1.2359807521449593,1.2391208522198272,0.021471734908762124,S1_1000Hz
75,human,6.581310102,1.8842338291661416,2.0415310107788947,0.05951396548447977,S1_0250Hz
75,human,7.550190144,2.0215727475795675,2.0415310107788947,0.05951396548447977,S1_0500Hz
75,human,8.177729048,2.1014144895765097,2.0415310107788947,0.05951396548447977,S1_0750Hz
75,human,8.661630435,2.15890297679336,2.0415310107788947,0.05951396548447977,S1_1000Hz
0,3000,7.813890589237111,1.646683002858823,0.5135765526195107,0.20844319588940366,arch01
0,3000,1.206611444223167,0.12071524660184274,0.5135765526195107,0.20844319588940366,arch02
0,3000,0.8326609779844087,-0.20947345509454376,0.5135765526195107,0.20844319588940366,arch03
0,3000,1.1382174546598531,0.09226203596777267,0.5135765526195107,0.20844319588940366,arch04
0,3000,5.83984347850513,1.1947005026224247,0.5135765526195107,0.20844319588940366,arch05
0,3000,1.7692604849855913,0.5468912964194214,0.5135765526195107,0.20844319588940366,arch06
0,3000,2.840950010709275,0.7147772672416659,0.5135765526195107,0.20844319588940366,arch07
0,3000,2.5381695029438975,0.811148905822456,0.5135765526195107,0.20844319588940366,arch08
0,3000,3.170771705203006,0.7611068458622651,0.5135765526195107,0.20844319588940366,arch09
0,3000,0.7037042654443789,-0.5430461221070204,0.5135765526195107,0.20844319588940366,arch10
5,3000,18.123112722985184,1.4584472049167518,0.5037990072581451,0.19864554214969848,arch01
5,3000,1.1730075483024318,0.08988054661235467,0.5037990072581451,0.19864554214969848,arch02
5,3000,0.8839457538316546,-0.17495047460727464,0.5037990072581451,0.19864554214969848,arch03
5,3000,1.168994698711267,0.10577620057210162,0.5037990072581451,0.19864554214969848,arch04
5,3000,16.668787281811024,1.2685718956637648,0.5037990072581451,0.19864554214969848,arch05
5,3000,1.8753875410321232,0.5637633143695178,0.5037990072581451,0.19864554214969848,arch06
5,3000,2.8429036148425992,0.593949163943944,0.5037990072581451,0.19864554214969848,arch07
