condition,snr,correct_word,correct_word_mean,correct_word_sem,correct_spkr,correct_spkr_mean,correct_spkr_sem,model,subject
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,0
16mm film projector,-3.0,0.25,0.38015873015873014,0.023234487798829636,,,,human,1
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,2
16mm film projector,-3.0,0.5,0.38015873015873014,0.023234487798829636,,,,human,3
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,4
16mm film projector,-3.0,0.375,0.38015873015873014,0.023234487798829636,,,,human,5
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,6
16mm film projector,-3.0,0.6,0.38015873015873014,0.023234487798829636,,,,human,7
16mm film projector,-3.0,0.5,0.38015873015873014,0.023234487798829636,,,,human,8
16mm film projector,-3.0,0.4,0.38015873015873014,0.023234487798829636,,,,human,9
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,10
16mm film projector,-3.0,0.6,0.38015873015873014,0.023234487798829636,,,,human,11
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,12
16mm film projector,-3.0,0.5555555555555556,0.38015873015873014,0.023234487798829636,,,,human,13
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,14
16mm film projector,-3.0,0.4285714285714285,0.38015873015873014,0.023234487798829636,,,,human,15
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,16
16mm film projector,-3.0,0.6666666666666666,0.38015873015873014,0.023234487798829636,,,,human,17
16mm film projector,-3.0,0.6666666666666666,0.38015873015873014,0.023234487798829636,,,,human,18
16mm film projector,-3.0,0.5555555555555556,0.38015873015873014,0.023234487798829636,,,,human,19
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,20
16mm film projector,-3.0,0.5555555555555556,0.38015873015873014,0.023234487798829636,,,,human,21
16mm film projector,-3.0,0.1111111111111111,0.38015873015873014,0.023234487798829636,,,,human,22
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,23
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,24
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,25
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,26
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,27
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,28
16mm film projector,-3.0,0.375,0.38015873015873014,0.023234487798829636,,,,human,29
16mm film projector,-3.0,0.1111111111111111,0.38015873015873014,0.023234487798829636,,,,human,30
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,31
16mm film projector,-3.0,0.2222222222222222,0.38015873015873014,0.023234487798829636,,,,human,32
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,33
16mm film projector,-3.0,0.5555555555555556,0.38015873015873014,0.023234487798829636,,,,human,34
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,35
16mm film projector,-3.0,0.3333333333333333,0.38015873015873014,0.023234487798829636,,,,human,36
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,37
16mm film projector,-3.0,0.4444444444444444,0.38015873015873014,0.023234487798829636,,,,human,38
16mm film projector,-3.0,0.4,0.38015873015873014,0.023234487798829636,,,,human,39
Airplane engine,-3.0,0.5555555555555556,0.31492063492063493,0.0282410235903097,,,,human,0
Airplane engine,-3.0,0.4444444444444444,0.31492063492063493,0.0282410235903097,,,,human,1
Airplane engine,-3.0,0.6666666666666666,0.31492063492063493,0.0282410235903097,,,,human,2
Airplane engine,-3.0,0.2222222222222222,0.31492063492063493,0.0282410235903097,,,,human,3
Airplane engine,-3.0,0.1111111111111111,0.31492063492063493,0.0282410235903097,,,,human,4
Airplane engine,-3.0,0.0,0.31492063492063493,0.0282410235903097,,,,human,5
Airplane engine,-3.0,0.375,0.31492063492063493,0.0282410235903097,,,,human,6
Airplane engine,-3.0,0.3333333333333333,0.31492063492063493,0.0282410235903097,,,,human,7
Airplane engine,-3.0,0.3333333333333333,0.31492063492063493,0.0282410235903097,,,,human,8
Airplane engine,-3.0,0.125,0.31492063492063493,0.0282410235903097,,,,human,9
Airplane engine,-3.0,0.4444444444444444,0.31492063492063493,0.0282410235903097,,,,human,10
Airplane engine,-3.0,0.3333333333333333,0.31492063492063493,0.0282410235903097,,,,human,11
Airplane engine,-3.0,0.1428571428571428,0.31492063492063493,0.0282410235903097,,,,human,12
Airplane engine,-3.0,0.5,0.31492063492063493,0.0282410235903097,,,,human,13
Airplane engine,-3.0,0.125,0.31492063492063493,0.0282410235903097,,,,human,14
Airplane engine,-3.0,0.4444444444444444,0.31492063492063493,0.0282410235903097,,,,human,15
Airplane engine,-3.0,0.1111111111111111,0.31492063492063493,0.0282410235903097,,,,human,16
Airplane engine,-3.0,0.25,0.31492063492063493,0.0282410235903097,,,,human,17
Airplane engine,-3.0,0.6666666666666666,0.31492063492063493,0.0282410235903097,,,,human,18
Airplane engine,-3.0,0.3333333333333333,0.31492063492063493,0.0282410235903097,,,,human,19
Airplane engine,-3.0,0.2222222222222222,0.31492063492063493,0.0282410235903097,,,,human,20
