condition,ild_bias_weight,ild_bias_weight_mean,ild_bias_weight_sem,itd_bias_weight,itd_bias_weight_mean,itd_bias_weight_sem,model,subject
lowpass,0.3167662428543232,0.3116704033407619,0.005816082311642386,0.9048913288288286,0.927306662912913,0.007155168328217173,1000,arch10
highpass,0.7831220444718137,0.7899627071917672,0.021423221357394603,0.06746377627627627,0.060438945195195194,0.002320210905462489,3000,arch01
highpass,0.8299674048316321,0.7899627071917672,0.021423221357394603,0.06485641891891891,0.060438945195195194,0.002320210905462489,3000,arch02
highpass,0.7889630923568631,0.7899627071917672,0.021423221357394603,0.05915897147147148,0.060438945195195194,0.002320210905462489,3000,arch03
highpass,0.6999743881256777,0.7899627071917672,0.021423221357394603,0.06576126126126125,0.060438945195195194,0.002320210905462489,3000,arch04
highpass,0.8266952432850807,0.7899627071917672,0.021423221357394603,0.059483108108108106,0.060438945195195194,0.002320210905462489,3000,arch05
highpass,0.7800239087422134,0.7899627071917672,0.021423221357394603,0.05973667417417418,0.060438945195195194,0.002320210905462489,3000,arch06
highpass,0.7689795588152817,0.7899627071917672,0.021423221357394603,0.0652956081081081,0.060438945195195194,0.002320210905462489,3000,arch07
highpass,0.8137498372593225,0.7899627071917672,0.021423221357394603,0.04186524024024024,0.060438945195195194,0.002320210905462489,3000,arch08
highpass,0.9238825002869364,0.7899627071917672,0.021423221357394603,0.05758295795795796,0.060438945195195194,0.002320210905462489,3000,arch09
highpass,0.68426909374285,0.7899627071917672,0.021423221357394603,0.06318543543543544,0.060438945195195194,0.002320210905462489,3000,arch10
lowpass,0.30096262550855957,0.2648454741906675,0.014404592406478794,0.9712556306306306,0.9855845720720721,0.0061802158790160025,3000,arch01
lowpass,0.28992742852405096,0.2648454741906675,0.014404592406478794,1.0062515015015014,0.9855845720720721,0.0061802158790160025,3000,arch02
lowpass,0.3114742013760243,0.2648454741906675,0.014404592406478794,0.9780080705705705,0.9855845720720721,0.0061802158790160025,3000,arch03
lowpass,0.15611632995553498,0.2648454741906675,0.014404592406478794,0.9763194444444443,0.9855845720720721,0.0061802158790160025,3000,arch04
lowpass,0.29610475936113106,0.2648454741906675,0.014404592406478794,0.9868911411411411,0.9855845720720721,0.0061802158790160025,3000,arch05
lowpass,0.2605853812363971,0.2648454741906675,0.014404592406478794,1.0032695195195196,0.9855845720720721,0.0061802158790160025,3000,arch06
lowpass,0.2287001288744678,0.2648454741906675,0.014404592406478794,0.9640510510510512,0.9855845720720721,0.0061802158790160025,3000,arch07
lowpass,0.25987632400763233,0.2648454741906675,0.014404592406478794,1.006623310810811,0.9855845720720721,0.0061802158790160025,3000,arch08
lowpass,0.2847083000776112,0.2648454741906675,0.014404592406478794,1.0081317567567565,0.9855845720720721,0.0061802158790160025,3000,arch09
lowpass,0.25999926298526593,0.2648454741906675,0.014404592406478794,0.9550442942942944,0.9855845720720721,0.0061802158790160025,3000,arch10
