condition,cutoff_channel,cutoff_channel_freq,srt,srt_mean,srt_sem,model,subject
stationary_noise,0.0,100.0,,-0.7,0.6974522292993619,human,
stationary_noise,8.0,548.0,,-2.047133757961782,0.678343949044586,human,
stationary_noise,16.0,1605.0,,-2.7828025477706984,0.8980891719745241,human,
stationary_noise,24.0,4102.0,,-2.400636942675157,0.7834394904458595,human,
stationary_noise,32.0,10000.0,,-2.9929936305732463,0.9649681528662404,human,
modulated_noise,0.0,100.0,,-7.4,1.5859872611464976,human,
modulated_noise,8.0,548.0,,-10.849044585987262,1.3184713375796155,human,
modulated_noise,16.0,1605.0,,-11.412738853503184,1.2229299363057313,human,
modulated_noise,24.0,4102.0,,-12.425477707006367,1.3471337579617835,human,
modulated_noise,32.0,10000.0,,-13.619745222929934,1.2324840764331206,human,
stationary_noise,0.0,80.0,-3.5197765091424773,-3.6003137955485784,0.036185718210168714,50,arch0_0000
stationary_noise,0.0,80.0,-3.455602534376533,-3.6003137955485784,0.036185718210168714,50,arch0_0001
stationary_noise,0.0,80.0,-3.684009413210517,-3.6003137955485784,0.036185718210168714,50,arch0_0002
stationary_noise,0.0,80.0,-3.7360144299578244,-3.6003137955485784,0.036185718210168714,50,arch0_0004
stationary_noise,0.0,80.0,-3.7116293282945736,-3.6003137955485784,0.036185718210168714,50,arch0_0006
stationary_noise,0.0,80.0,-3.576787407364803,-3.6003137955485784,0.036185718210168714,50,arch0_0007
stationary_noise,0.0,80.0,-3.7610779471879194,-3.6003137955485784,0.036185718210168714,50,arch0_0008
stationary_noise,0.0,80.0,-3.46955816676799,-3.6003137955485784,0.036185718210168714,50,arch0_0009
stationary_noise,0.0,80.0,-3.582068203172074,-3.6003137955485784,0.036185718210168714,50,arch0_0016
stationary_noise,0.0,80.0,-3.5066140160110746,-3.6003137955485784,0.036185718210168714,50,arch0_0017
stationary_noise,4.0,242.87576293945312,-3.3240233616746,-3.1767691189690663,0.05724699971269172,50,arch0_0000
stationary_noise,4.0,242.87576293945312,-2.9751979899182586,-3.1767691189690663,0.05724699971269172,50,arch0_0001
stationary_noise,4.0,242.87576293945312,-3.2080967364592303,-3.1767691189690663,0.05724699971269172,50,arch0_0002
stationary_noise,4.0,242.87576293945312,-3.4617532622924463,-3.1767691189690663,0.05724699971269172,50,arch0_0004
stationary_noise,4.0,242.87576293945312,-3.3214046542124014,-3.1767691189690663,0.05724699971269172,50,arch0_0006
stationary_noise,4.0,242.87576293945312,-3.1282702068492365,-3.1767691189690663,0.05724699971269172,50,arch0_0007
stationary_noise,4.0,242.87576293945312,-3.1730723543891997,-3.1767691189690663,0.05724699971269172,50,arch0_0008
stationary_noise,4.0,242.87576293945312,-3.245190824527907,-3.1767691189690663,0.05724699971269172,50,arch0_0009
stationary_noise,4.0,242.87576293945312,-3.0939236201639955,-3.1767691189690663,0.05724699971269172,50,arch0_0016
stationary_noise,4.0,242.87576293945312,-2.836758179203386,-3.1767691189690663,0.05724699971269172,50,arch0_0017
stationary_noise,8.0,491.6507873535156,-3.056282794097581,-2.8904135227362473,0.06152653299354726,50,arch0_0000
stationary_noise,8.0,491.6507873535156,-2.5151874284485647,-2.8904135227362473,0.06152653299354726,50,arch0_0001
stationary_noise,8.0,491.6507873535156,-2.8025802286593944,-2.8904135227362473,0.06152653299354726,50,arch0_0002
stationary_noise,8.0,491.6507873535156,-2.9493537377629813,-2.8904135227362473,0.06152653299354726,50,arch0_0004
stationary_noise,8.0,491.6507873535156,-3.0993309447981936,-2.8904135227362473,0.06152653299354726,50,arch0_0006
stationary_noise,8.0,491.6507873535156,-2.9378322976755387,-2.8904135227362473,0.06152653299354726,50,arch0_0007
stationary_noise,8.0,491.6507873535156,-2.8714283704117127,-2.8904135227362473,0.06152653299354726,50,arch0_0008
stationary_noise,8.0,491.6507873535156,-3.0463545288460674,-2.8904135227362473,0.06152653299354726,50,arch0_0009
stationary_noise,8.0,491.6507873535156,-3.0111452078070067,-2.8904135227362473,0.06152653299354726,50,arch0_0016
stationary_noise,8.0,491.6507873535156,-2.614639688855435,-2.8904135227362473,0.06152653299354726,50,arch0_0017
stationary_noise,12.0,871.6275024414062,-2.734326198656257,-2.8082612275218777,0.05182562149921718,50,arch0_0000
stationary_noise,12.0,871.6275024414062,-2.5405465653182255,-2.8082612275218777,0.05182562149921718,50,arch0_0001
stationary_noise,12.0,871.6275024414062,-2.9829890226097673,-2.8082612275218777,0.05182562149921718,50,arch0_0002
stationary_noise,12.0,871.6275024414062,-2.9301222083154417,-2.8082612275218777,0.05182562149921718,50,arch0_0004
stationary_noise,12.0,871.6275024414062,-2.8347193282816705,-2.8082612275218777,0.05182562149921718,50,arch0_0006
stationary_noise,12.0,871.6275024414062,-2.744951422156315,-2.8082612275218777,0.05182562149921718,50,arch0_0007
stationary_noise,12.0,871.6275024414062,-3.020583910384928,-2.8082612275218777,0.05182562149921718,50,arch0_0008
stationary_noise,12.0,871.6275024414062,-2.914011030721527,-2.8082612275218777,0.05182562149921718,50,arch0_0009
stationary_noise,12.0,871.6275024414062,-2.8133788547679943,-2.8082612275218777,0.05182562149921718,50,arch0_0016
stationary_noise,12.0,871.6275024414062,-2.566983734006649,-2.8082612275218777,0.05182562149921718,50,arch0_0017
stationary_noise,16.0,1452.0006103515625,-3.0119514449401508,-2.9427074913442297,0.0741987675942508,50,arch0_0000
stationary_noise,16.0,1452.0006103515625,-2.582895934572634,-2.9427074913442297,0.0741987675942508,50,arch0_0001
stationary_noise,16.0,1452.0006103515625,-2.8351004664907418,-2.9427074913442297,0.0741987675942508,50,arch0_0002
stationary_noise,16.0,1452.0006103515625,-3.099496474952716,-2.9427074913442297,0.0741987675942508,50,arch0_0004
stationary_noise,16.0,1452.0006103515625,-3.1053007781153505,-2.9427074913442297,0.0741987675942508,50,arch0_0006
stationary_noise,16.0,1452.0006103515625,-3.1168400725405214,-2.9427074913442297,0.0741987675942508,50,arch0_0007
stationary_noise,16.0,1452.0006103515625,-3.071961858302716,-2.9427074913442297,0.0741987675942508,50,arch0_0008
stationary_noise,16.0,1452.0006103515625,-3.2255777378011334,-2.9427074913442297,0.0741987675942508,50,arch0_0009
stationary_noise,16.0,1452.0006103515625,-2.835311535559016,-2.9427074913442297,0.0741987675942508,50,arch0_0016
stationary_noise,16.0,1452.0006103515625,-2.5426386101673177,-2.9427074913442297,0.0741987675942508,50,arch0_0017
stationary_noise,20.0,2338.45751953125,-3.550187003224305,-3.1858868453415763,0.0729715688102457,50,arch0_0000
stationary_noise,20.0,2338.45751953125,-2.7784953012830043,-3.1858868453415763,0.0729715688102457,50,arch0_0001
