metric,task,model,y_mean,y_bootstrap
performance,localization,50,32.6763801765317,32.45189945538695
performance,localization,50,32.6763801765317,33.0652399617227
performance,localization,50,32.6763801765317,32.17148466074167
performance,localization,50,32.6763801765317,32.072883325323765
performance,localization,50,32.6763801765317,33.117002311875204
performance,localization,50,32.6763801765317,32.248977033366046
performance,localization,50,32.6763801765317,33.9210404779718
performance,localization,50,32.6763801765317,32.88499640300995
performance,localization,50,32.6763801765317,31.608025181970596
performance,localization,50,32.6763801765317,31.63562772687451
performance,localization,50,32.6763801765317,32.00473091617562
performance,localization,50,32.6763801765317,32.80373554207894
performance,localization,50,32.6763801765317,32.72208664340566
performance,localization,50,32.6763801765317,31.838857873569545
performance,localization,50,32.6763801765317,30.871308284781737
performance,localization,50,32.6763801765317,32.52112008152433
performance,localization,50,32.6763801765317,33.429076967102475
performance,localization,50,32.6763801765317,33.51715548843032
performance,localization,50,32.6763801765317,33.20203377793361
performance,localization,50,32.6763801765317,31.7818317717474
performance,localization,50,32.6763801765317,33.605671975930605
performance,localization,50,32.6763801765317,34.44954766801832
performance,localization,50,32.6763801765317,31.08098517158868
performance,localization,50,32.6763801765317,30.491160949293686
performance,localization,50,32.6763801765317,32.71861606728924
performance,localization,50,32.6763801765317,31.49158480161907
performance,localization,50,32.6763801765317,33.795697724741196
performance,localization,50,32.6763801765317,33.67401074752506
performance,localization,50,32.6763801765317,31.791685506699707
performance,localization,50,32.6763801765317,32.73498487428994
performance,localization,50,32.6763801765317,32.91777499832657
performance,localization,50,32.6763801765317,31.654208124717673
performance,localization,50,32.6763801765317,32.728809909844685
performance,localization,50,32.6763801765317,33.679982755435695
performance,localization,50,32.6763801765317,32.3044724117768
performance,localization,50,32.6763801765317,32.84623971431896
performance,localization,50,32.6763801765317,33.43158109723677
performance,localization,50,32.6763801765317,33.75099288659184
performance,localization,50,32.6763801765317,33.40723038470084
performance,localization,50,32.6763801765317,31.125323392462434
performance,localization,50,32.6763801765317,32.97010166461177
performance,localization,50,32.6763801765317,31.810657902042358
performance,localization,50,32.6763801765317,32.51736379781952
performance,localization,50,32.6763801765317,33.08589272844366
performance,localization,50,32.6763801765317,32.90711847417286
performance,localization,50,32.6763801765317,32.40241514533892
performance,localization,50,32.6763801765317,32.75367142304159
performance,localization,50,32.6763801765317,34.13709317733325
performance,localization,50,32.6763801765317,34.1637104314778
performance,localization,50,32.6763801765317,32.65781611665378
performance,localization,50,32.6763801765317,33.369761761240134
performance,localization,50,32.6763801765317,32.155122685444425
performance,localization,50,32.6763801765317,30.786175186718843
performance,localization,50,32.6763801765317,33.61831827326294
performance,localization,50,32.6763801765317,32.47393281171257
performance,localization,50,32.6763801765317,32.727593255026
performance,localization,50,32.6763801765317,34.06804176001134
performance,localization,50,32.6763801765317,31.234432222719942
performance,localization,50,32.6763801765317,31.706147168969647
performance,localization,50,32.6763801765317,33.45174716925749
performance,localization,50,32.6763801765317,33.66331009866941
performance,localization,50,32.6763801765317,31.606344671589664
performance,localization,50,32.6763801765317,31.97417074340491
performance,localization,50,32.6763801765317,34.62159525140402
performance,localization,50,32.6763801765317,31.97849120423978
performance,localization,50,32.6763801765317,32.379483493404884
performance,localization,50,32.6763801765317,33.92653587100669
performance,localization,50,32.6763801765317,33.1420513279134
performance,localization,50,32.6763801765317,34.653505770805495
performance,localization,50,32.6763801765317,32.13642109474823
performance,localization,50,32.6763801765317,32.82484336420636
performance,localization,50,32.6763801765317,30.011025761173038
performance,localization,50,32.6763801765317,31.984085669941702
performance,localization,50,32.6763801765317,32.63350058686031
performance,localization,50,32.6763801765317,31.129458498044688
performance,localization,50,32.6763801765317,33.645218520303835
performance,localization,50,32.6763801765317,33.73592366063968
performance,localization,50,32.6763801765317,31.41878659050216
performance,localization,50,32.6763801765317,31.063895221947707
performance,localization,50,32.6763801765317,33.33443290250124
performance,localization,50,32.6763801765317,31.792758371630253
performance,localization,50,32.6763801765317,33.030248356892294
performance,localization,50,32.6763801765317,32.91387620440235
performance,localization,50,32.6763801765317,32.418738651069226
performance,localization,50,32.6763801765317,32.026963979944384
performance,localization,50,32.6763801765317,33.200841380924274
performance,localization,50,32.6763801765317,32.30481345287088
performance,localization,50,32.6763801765317,33.11122873173897
performance,localization,50,32.6763801765317,33.05133596875043
performance,localization,50,32.6763801765317,33.28833867459145
performance,localization,50,32.6763801765317,34.43319661765418
performance,localization,50,32.6763801765317,33.39550512897996
performance,localization,50,32.6763801765317,33.170620447836754
performance,localization,50,32.6763801765317,31.37525923006827
performance,localization,50,32.6763801765317,32.55170195276693
performance,localization,50,32.6763801765317,31.43638747980673
performance,localization,50,32.6763801765317,32.7283456385734
performance,localization,50,32.6763801765317,31.59024542574017
performance,localization,50,32.6763801765317,33.461056200475085
performance,localization,50,32.6763801765317,32.805111871234445
performance,localization,50,32.6763801765317,33.04599090105033
performance,localization,50,32.6763801765317,32.51348335044658
performance,localization,50,32.6763801765317,33.691401463050916
performance,localization,50,32.6763801765317,32.365493923953
performance,localization,50,32.6763801765317,32.8063001348804
performance,localization,50,32.6763801765317,32.37226458770165
performance,localization,50,32.6763801765317,31.709021356028643
performance,localization,50,32.6763801765317,31.865383432096372
performance,localization,50,32.6763801765317,32.689599168709535
performance,localization,50,32.6763801765317,32.131056400828136
performance,localization,50,32.6763801765317,32.90288571459494
performance,localization,50,32.6763801765317,32.4955145170778
performance,localization,50,32.6763801765317,31.524087179257123
performance,localization,50,32.6763801765317,32.16506059012184
performance,localization,50,32.6763801765317,31.472462029392194
performance,localization,50,32.6763801765317,32.86092332682394
performance,localization,50,32.6763801765317,32.001566646061974
performance,localization,50,32.6763801765317,32.801533596500875
performance,localization,50,32.6763801765317,31.959808649848913
performance,localization,50,32.6763801765317,31.146374017366146
performance,localization,50,32.6763801765317,32.81108643848253
performance,localization,50,32.6763801765317,32.523217553320094
performance,localization,50,32.6763801765317,32.511202456647446
performance,localization,50,32.6763801765317,32.93741192313505
performance,localization,50,32.6763801765317,31.74609881400743
performance,localization,50,32.6763801765317,31.141678576189953
performance,localization,50,32.6763801765317,31.739923988564794
performance,localization,50,32.6763801765317,31.660168478777877
performance,localization,50,32.6763801765317,32.88744971854254
performance,localization,50,32.6763801765317,32.375204597934484
performance,localization,50,32.6763801765317,32.41021169562151
performance,localization,50,32.6763801765317,32.05894248439968
performance,localization,50,32.6763801765317,32.13027337684936
performance,localization,50,32.6763801765317,32.4517978070305
performance,localization,50,32.6763801765317,30.812601672578655
performance,localization,50,32.6763801765317,31.425937355796986
performance,localization,50,32.6763801765317,33.082137724407595
performance,localization,50,32.6763801765317,32.89691242701557
performance,localization,50,32.6763801765317,31.443927019717727
performance,localization,50,32.6763801765317,32.049550012374276
performance,localization,50,32.6763801765317,33.61382578862138
performance,localization,50,32.6763801765317,32.711025917150614
performance,localization,50,32.6763801765317,33.524745638568945
performance,localization,50,32.6763801765317,32.22773083438258
performance,localization,50,32.6763801765317,34.17812054099625
performance,localization,50,32.6763801765317,32.97862320702736
performance,localization,50,32.6763801765317,32.470802033195
performance,localization,50,32.6763801765317,33.36351497067423
performance,localization,50,32.6763801765317,33.25723178949999
performance,localization,50,32.6763801765317,34.18703653714852
performance,localization,50,32.6763801765317,34.00019886978398
performance,localization,50,32.6763801765317,32.41940190086633
performance,localization,50,32.6763801765317,32.007772979855915
performance,localization,50,32.6763801765317,31.68347696681464
performance,localization,50,32.6763801765317,32.55679042900845
performance,localization,50,32.6763801765317,32.65482201641048
performance,localization,50,32.6763801765317,31.578286403876707
performance,localization,50,32.6763801765317,32.11370500140813
performance,localization,50,32.6763801765317,32.84477239565174
performance,localization,50,32.6763801765317,32.79675540427093
performance,localization,50,32.6763801765317,32.755350653753794
performance,localization,50,32.6763801765317,34.581847719918926
performance,localization,50,32.6763801765317,32.14467055284864
performance,localization,50,32.6763801765317,33.5851520559131
performance,localization,50,32.6763801765317,32.37694640560465
performance,localization,50,32.6763801765317,32.89656798147541
performance,localization,50,32.6763801765317,32.133564525323195
performance,localization,50,32.6763801765317,32.675377129135754
performance,localization,50,32.6763801765317,33.75070304564007
performance,localization,50,32.6763801765317,33.16505253892719
performance,localization,50,32.6763801765317,32.873853184156005
performance,localization,50,32.6763801765317,33.39989697884542
performance,localization,50,32.6763801765317,32.63019723378462
performance,localization,50,32.6763801765317,32.57079529885972
performance,localization,50,32.6763801765317,35.08306304653056
performance,localization,50,32.6763801765317,33.14400191402348
performance,localization,50,32.6763801765317,32.52937889449216
performance,localization,50,32.6763801765317,32.775109808981135
performance,localization,50,32.6763801765317,32.51993039920702
performance,localization,50,32.6763801765317,31.696698673684505
performance,localization,50,32.6763801765317,31.838260446946276
performance,localization,50,32.6763801765317,32.51863764986193
performance,localization,50,32.6763801765317,33.435038050079996
performance,localization,50,32.6763801765317,32.255329142822845
performance,localization,50,32.6763801765317,31.89972043446083
performance,localization,50,32.6763801765317,33.258029026666655
performance,localization,50,32.6763801765317,32.03074650723326
performance,localization,50,32.6763801765317,33.593968979398355
performance,localization,50,32.6763801765317,32.72497839557317
performance,localization,50,32.6763801765317,32.821189418612036
performance,localization,50,32.6763801765317,32.268822344093216
performance,localization,50,32.6763801765317,31.66613978058252
performance,localization,50,32.6763801765317,33.63200080779474
performance,localization,50,32.6763801765317,31.588169652416298
performance,localization,50,32.6763801765317,32.1061094382374
performance,localization,50,32.6763801765317,34.17362677668596
performance,localization,50,32.6763801765317,33.078935429773665
