deg_azim_err,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err,deg_elev_err_mean,deg_elev_err_sem,deg_err,deg_err_mean,deg_err_sem,snr,model,subject
37.66233766233766,38.457714534269556,1.1813361070163,15.324675324675324,15.06990617038464,0.4453817777955392,40.27084558754677,41.58967121165646,0.8498881204114311,-13.6,human,S1
47.23684210526316,38.457714534269556,1.1813361070163,14.473684210526317,15.06990617038464,0.4453817777955392,45.982487048918,41.58967121165646,0.8498881204114311,-13.6,human,S2
39.22077922077922,38.457714534269556,1.1813361070163,16.883116883116884,15.06990617038464,0.4453817777955392,43.84772847149062,41.58967121165646,0.8498881204114311,-13.6,human,S3
36.103896103896105,38.457714534269556,1.1813361070163,15.324675324675324,15.06990617038464,0.4453817777955392,39.12457058564338,41.58967121165646,0.8498881204114311,-13.6,human,S4
42.20779220779221,38.457714534269556,1.1813361070163,12.857142857142856,15.06990617038464,0.4453817777955392,42.97606522964742,41.58967121165646,0.8498881204114311,-13.6,human,S5
36.05263157894737,38.457714534269556,1.1813361070163,16.44736842105263,15.06990617038464,0.4453817777955392,41.693321100894856,41.58967121165646,0.8498881204114311,-13.6,human,S6
34.8051948051948,38.457714534269556,1.1813361070163,14.155844155844155,15.06990617038464,0.4453817777955392,39.0514682043301,41.58967121165646,0.8498881204114311,-13.6,human,S7
32.89473684210526,38.457714534269556,1.1813361070163,13.68421052631579,15.06990617038464,0.4453817777955392,36.25482478081785,41.58967121165646,0.8498881204114311,-13.6,human,S8
37.23684210526316,38.457714534269556,1.1813361070163,16.31578947368421,15.06990617038464,0.4453817777955392,41.60222484783472,41.58967121165646,0.8498881204114311,-13.6,human,S9
39.35064935064935,38.457714534269556,1.1813361070163,17.01298701298701,15.06990617038464,0.4453817777955392,44.80243026846515,41.58967121165646,0.8498881204114311,-13.6,human,S10
40.26315789473684,38.457714534269556,1.1813361070163,13.289473684210526,15.06990617038464,0.4453817777955392,41.8804172026322,41.58967121165646,0.8498881204114311,-13.6,human,S11
26.710526315789476,18.654073199527748,1.0174405177003492,15.657894736842104,13.750543714658546,0.569147096515101,32.86076934466628,25.25588418107942,0.9864061508709548,-6.8,human,S1
18.181818181818183,18.654073199527748,1.0174405177003492,14.935064935064934,13.750543714658546,0.569147096515101,24.84714327216042,25.25588418107942,0.9864061508709548,-6.8,human,S2
17.894736842105264,18.654073199527748,1.0174405177003492,12.63157894736842,13.750543714658546,0.569147096515101,24.031348517512125,25.25588418107942,0.9864061508709548,-6.8,human,S3
19.350649350649352,18.654073199527748,1.0174405177003492,14.935064935064934,13.750543714658546,0.569147096515101,25.96972180926181,25.25588418107942,0.9864061508709548,-6.8,human,S4
15.324675324675324,18.654073199527748,1.0174405177003492,13.896103896103895,13.750543714658546,0.569147096515101,23.3331663844686,25.25588418107942,0.9864061508709548,-6.8,human,S5
15.844155844155845,18.654073199527748,1.0174405177003492,16.623376623376622,13.750543714658546,0.569147096515101,25.86276028226092,25.25588418107942,0.9864061508709548,-6.8,human,S6
14.342105263157896,18.654073199527748,1.0174405177003492,11.447368421052632,13.750543714658546,0.569147096515101,20.156163944514333,25.25588418107942,0.9864061508709548,-6.8,human,S7
19.86842105263158,18.654073199527748,1.0174405177003492,11.447368421052632,13.750543714658546,0.569147096515101,24.21266534931876,25.25588418107942,0.9864061508709548,-6.8,human,S8
17.272727272727273,18.654073199527748,1.0174405177003492,11.688311688311687,13.750543714658546,0.569147096515101,23.10053042903791,25.25588418107942,0.9864061508709548,-6.8,human,S9
21.18421052631579,18.654073199527748,1.0174405177003492,15.526315789473683,13.750543714658546,0.569147096515101,28.580944514622544,25.25588418107942,0.9864061508709548,-6.8,human,S10
19.22077922077922,18.654073199527748,1.0174405177003492,12.467532467532466,13.750543714658546,0.569147096515101,24.85951214404989,25.25588418107942,0.9864061508709548,-6.8,human,S11
9.74025974025974,10.679332629093395,0.7199567588167233,11.168831168831169,11.951003541912632,0.33548860262362223,17.074129743198178,18.183410412175903,0.44682580470249655,0.0,human,S1
15.394736842105264,10.679332629093395,0.7199567588167233,12.499999999999998,11.951003541912632,0.33548860262362223,21.787275535872578,18.183410412175903,0.44682580470249655,0.0,human,S2
11.03896103896104,10.679332629093395,0.7199567588167233,11.2987012987013,11.951003541912632,0.33548860262362223,17.73459602095161,18.183410412175903,0.44682580470249655,0.0,human,S3
10.64935064935065,10.679332629093395,0.7199567588167233,11.2987012987013,11.951003541912632,0.33548860262362223,17.706691678307337,18.183410412175903,0.44682580470249655,0.0,human,S4
10.51948051948052,10.679332629093395,0.7199567588167233,13.896103896103895,11.951003541912632,0.33548860262362223,19.71367349189648,18.183410412175903,0.44682580470249655,0.0,human,S5
8.441558441558442,10.679332629093395,0.7199567588167233,12.727272727272728,11.951003541912632,0.33548860262362223,18.01524802589833,18.183410412175903,0.44682580470249655,0.0,human,S6
8.7012987012987,10.679332629093395,0.7199567588167233,12.727272727272728,11.951003541912632,0.33548860262362223,16.97450100017768,18.183410412175903,0.44682580470249655,0.0,human,S7
10.38961038961039,10.679332629093395,0.7199567588167233,11.2987012987013,11.951003541912632,0.33548860262362223,17.957493386622904,18.183410412175903,0.44682580470249655,0.0,human,S8
13.506493506493506,10.679332629093395,0.7199567588167233,10.909090909090908,11.951003541912632,0.33548860262362223,18.747055082118365,18.183410412175903,0.44682580470249655,0.0,human,S9
12.207792207792208,10.679332629093395,0.7199567588167233,10.38961038961039,11.951003541912632,0.33548860262362223,17.858018159840892,18.183410412175903,0.44682580470249655,0.0,human,S10
