f0,weber_fraction,model,subject
261.1670837402344,9.68e-06,all_information_computational,
347.36456298828125,8.09e-06,all_information_computational,
485.06573486328125,6.48e-06,all_information_computational,
721.1174926757812,5.03e-06,all_information_computational,
972.5578002929688,4.1e-06,all_information_computational,
1386.736572265625,3.32e-06,all_information_computational,
1949.980224609375,2.79e-06,all_information_computational,
2898.916015625,2.96e-06,all_information_computational,
4020.032958984375,4.79e-06,all_information_computational,
5613.64208984375,1.09e-05,all_information_computational,
6773.5400390625,2.09e-05,all_information_computational,
261.1670837402344,1.63e-05,all_information_analytical,
347.36456298828125,1.24e-05,all_information_analytical,
485.06573486328125,8.77e-06,all_information_analytical,
721.1174926757812,5.93e-06,all_information_analytical,
972.5578002929688,4.42e-06,all_information_analytical,
1386.736572265625,3.11e-06,all_information_analytical,
1949.980224609375,2.19e-06,all_information_analytical,
261.1670837402344,0.002133016,rate_place_computational,
344.9565124511719,0.001933706,rate_place_computational,
488.45184326171875,0.00176741,rate_place_computational,
721.1174926757812,0.001615415,rate_place_computational,
972.5578002929688,0.001538092,rate_place_computational,
1386.736572265625,0.001452547,rate_place_computational,
1963.592529296875,0.001394372,rate_place_computational,
2919.152587890625,0.0013061,rate_place_computational,
4048.095458984375,0.001223415,rate_place_computational,
5613.64208984375,0.001184057,rate_place_computational,
6773.5400390625,0.001174417,rate_place_computational,
261.1670837402344,0.001284919,rate_place_analytical,
344.9565124511719,0.001284919,rate_place_analytical,
488.45184326171875,0.001284919,rate_place_analytical,
721.1174926757812,0.001284919,rate_place_analytical,
972.5578002929688,0.001274458,rate_place_analytical,
1386.736572265625,0.001284919,rate_place_analytical,
1963.592529296875,0.0013061,rate_place_analytical,
249.9999999999999,0.001760645594413,IHC0050,arch_0346_0000
249.9999999999999,0.0018431399195701,IHC0050,arch_0346_0004
249.9999999999999,0.0018720276532733,IHC0050,arch_0346_0005
249.9999999999999,0.0018408040572654,IHC0050,arch_0346_0006
249.9999999999999,0.0019117604434359,IHC0050,arch_0346_0009
249.9999999999999,0.00184765787654,IHC0050,arch_0346_0011
249.9999999999999,0.0016422501457398,IHC0050,arch_0346_0013
249.9999999999999,0.0017941056137003,IHC0050,arch_0346_0015
249.9999999999999,0.0017885173792921,IHC0050,arch_0346_0017
249.9999999999999,0.0019190126603505,IHC0050,arch_0346_0020
249.9999999999999,1.869833468393089e-05,IHC0320,arch_0346_0000
249.9999999999999,2.0654036340772564e-05,IHC0320,arch_0346_0004
249.9999999999999,2.018911503265386e-05,IHC0320,arch_0346_0005
249.9999999999999,2.4278125886345592e-05,IHC0320,arch_0346_0006
249.9999999999999,2.0358321044300357e-05,IHC0320,arch_0346_0009
249.9999999999999,2.159381386590553e-05,IHC0320,arch_0346_0011
249.9999999999999,2.026640568897342e-05,IHC0320,arch_0346_0013
249.9999999999999,2.2201838417057477e-05,IHC0320,arch_0346_0015
249.9999999999999,2.3002602066002357e-05,IHC0320,arch_0346_0017
249.9999999999999,2.192892795482848e-05,IHC0320,arch_0346_0020
249.9999999999999,1.3072998521046486e-05,IHC1000,arch_0346_0000
249.9999999999999,1.2266506450364645e-05,IHC1000,arch_0346_0004
249.9999999999999,1.42700043577193e-05,IHC1000,arch_0346_0005
249.9999999999999,1.390600174611123e-05,IHC1000,arch_0346_0006
249.9999999999999,1.5751032833133394e-05,IHC1000,arch_0346_0009
249.9999999999999,1.4234836304360954e-05,IHC1000,arch_0346_0011
249.9999999999999,1.5235733717533506e-05,IHC1000,arch_0346_0013
249.9999999999999,1.6470425664438793e-05,IHC1000,arch_0346_0015
249.9999999999999,1.5141270138352423e-05,IHC1000,arch_0346_0017
249.9999999999999,1.3151059916616248e-05,IHC1000,arch_0346_0020
249.9999999999999,1.313961303783806e-05,IHC3000,arch_0346_0000
249.9999999999999,1.1836036546863936e-05,IHC3000,arch_0346_0004
249.9999999999999,1.051906676763359e-05,IHC3000,arch_0346_0005
249.9999999999999,1.3819778435619767e-05,IHC3000,arch_0346_0006
249.9999999999999,1.2155380255229886e-05,IHC3000,arch_0346_0009
249.9999999999999,1.1553730960844888e-05,IHC3000,arch_0346_0011
249.9999999999999,1.3331712619191194e-05,IHC3000,arch_0346_0013
249.9999999999999,1.1971752643002986e-05,IHC3000,arch_0346_0015
249.9999999999999,1.274042093468708e-05,IHC3000,arch_0346_0017
249.9999999999999,1.2623337962924808e-05,IHC3000,arch_0346_0020
249.9999999999999,1.5468480851321686e-05,sr10000_IHC3000,arch_0346_0000
249.9999999999999,1.4450038998914394e-05,sr10000_IHC3000,arch_0346_0004
249.9999999999999,1.2234740458971771e-05,sr10000_IHC3000,arch_0346_0005
249.9999999999999,1.5309246501837848e-05,sr10000_IHC3000,arch_0346_0006
249.9999999999999,1.2114178468802804e-05,sr10000_IHC3000,arch_0346_0009
249.9999999999999,1.3789322045543171e-05,sr10000_IHC3000,arch_0346_0011
249.9999999999999,1.3484764941340543e-05,sr10000_IHC3000,arch_0346_0013
249.9999999999999,1.4929832779397856e-05,sr10000_IHC3000,arch_0346_0015
249.9999999999999,1.3558452302220305e-05,sr10000_IHC3000,arch_0346_0017
249.9999999999999,1.3447836876512298e-05,sr10000_IHC3000,arch_0346_0020
353.55339059327395,0.0014445168053229,IHC0050,arch_0346_0000
353.55339059327395,0.0014522300785864,IHC0050,arch_0346_0004
353.55339059327395,0.0015979423759402,IHC0050,arch_0346_0005
353.55339059327395,0.0014571651835029,IHC0050,arch_0346_0006
353.55339059327395,0.001402729289323,IHC0050,arch_0346_0009
