background_condition,correct_spkr,correct_word,cutoff_channel,cutoff_channel_freq,fn_eval,index,popt,snr,srt,tag_expt,tag_model
4.0,"[0.0026595744680851063, 0.0, 0.0026595744680851063, 0.02127659574468085, 0.13297872340425532, 0.3377659574468085, 0.5771276595744681, 0.7367021276595744, 0.848404255319149, 0.9202127659574468, 0.9441489361702128, 0.9521276595744681, 0.9627659574468085, 0.9654255319148937, 0.9627659574468085]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,242.87576293945312,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,10,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0, 0.0026595744680851063, 0.010638297872340425, 0.023936170212765957, 0.15159574468085107, 0.39095744680851063, 0.5877659574468085, 0.7553191489361702, 0.8377659574468085, 0.9202127659574468, 0.9335106382978723, 0.9547872340425532, 0.9601063829787234, 0.9601063829787234, 0.9627659574468085]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,491.6507873535156,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,11,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0026595744680851063, 0.0, 0.015957446808510637, 0.015957446808510637, 0.11436170212765957, 0.3962765957446808, 0.5904255319148937, 0.723404255319149, 0.8457446808510638, 0.8936170212765957, 0.9388297872340425, 0.9574468085106383, 0.9627659574468085, 0.976063829787234, 0.976063829787234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.0,871.6275024414062,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,12,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0, 0.005319148936170213, 0.005319148936170213, 0.018617021276595744, 0.125, 0.35904255319148937, 0.5824468085106383, 0.7473404255319149, 0.8377659574468085, 0.9095744680851063, 0.9335106382978723, 0.9521276595744681, 0.9654255319148937, 0.973404255319149, 0.973404255319149]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.0,1452.0006103515625,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,13,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0026595744680851063, 0.0026595744680851063, 0.013297872340425532, 0.015957446808510637, 0.125, 0.3776595744680851, 0.5718085106382979, 0.7473404255319149, 0.848404255319149, 0.9122340425531915, 0.9361702127659575, 0.9574468085106383, 0.9680851063829787, 0.9680851063829787, 0.9654255319148937]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.0,2338.45751953125,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,14,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0, 0.0, 0.005319148936170213, 0.026595744680851064, 0.15159574468085107, 0.39095744680851063, 0.5851063829787234, 0.7420212765957447, 0.848404255319149, 0.9069148936170213, 0.9388297872340425, 0.9574468085106383, 0.9574468085106383, 0.9627659574468085, 0.9680851063829787]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.0,3692.423583984375,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,15,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0026595744680851063, 0.0, 0.010638297872340425, 0.034574468085106384, 0.1622340425531915, 0.4175531914893617, 0.6143617021276596, 0.7712765957446809, 0.8590425531914894, 0.901595744680851, 0.9388297872340425, 0.9627659574468085, 0.9680851063829787, 0.9654255319148937, 0.976063829787234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.0,5760.4599609375,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,16,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0026595744680851063, 0.0, 0.010638297872340425, 0.03723404255319149, 0.22074468085106383, 0.4787234042553192, 0.6702127659574468, 0.8191489361702128, 0.9069148936170213, 0.9361702127659575, 0.9547872340425532, 0.9574468085106383, 0.9654255319148937, 0.973404255319149, 0.9813829787234043]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32.0,8000.0,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,17,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.0026595744680851063, 0.005319148936170213, 0.005319148936170213, 0.010638297872340425, 0.031914893617021274, 0.1356382978723404, 0.4148936170212766, 0.6675531914893617, 0.8404255319148937, 0.9095744680851063, 0.9414893617021277, 0.9547872340425532, 0.9574468085106383, 0.9601063829787234, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,80.0,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,18,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.005319148936170213, 0.0026595744680851063, 0.007978723404255319, 0.018617021276595744, 0.11436170212765957, 0.3670212765957447, 0.5771276595744681, 0.8111702127659575, 0.901595744680851, 0.9361702127659575, 0.9521276595744681, 0.9601063829787234, 0.9574468085106383, 0.9627659574468085]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,242.87576293945312,models/spkr_recognition/IHC0050/arch0_0001/EVAL_hopkins_moore_2009.json,19,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
